SKEWS FOR JACOBIAN
0.8182694514574037 #250, triangle 84
-0.3030180107090841 #251, triangle 84
0.08550751530896382 #252, triangle 84
0.3503752345215675 #253, triangle 85
-0.4996076233183868 #254, triangle 85
-0.07549148099607628 #255, triangle 85
-0.41639629200463096 #256, triangle 86
0.44451313755798944 #257, triangle 86
-0.8239634146341634 #258, triangle 86
3.37400620721914 #259, triangle 87
5.389453696744272 #260, triangle 87
1.6529670082198236 #261, triangle 87
6.494812450119918 #262, triangle 88
-6.091599430470131 #263, triangle 88
2.2744151503898697 #264, triangle 88
2.751993223041663 #265, triangle 89
2.0412332606664556 #266, triangle 89
2.5214706575536363 #267, triangle 89
-1.661094793556955 #268, triangle 90
-1.4998319931140172 #269, triangle 90
-1.382197910921315 #270, triangle 90
-1.092275596448037 #271, triangle 91
-0.7859644764625306 #272, triangle 91
-0.18222362802465858 #273, triangle 91
-1.1472077324332897 #274, triangle 92
-0.7165434021019772 #275, triangle 92
-2.170607170607064 #276, triangle 92
-1.2255305932290894 #277, triangle 93
-0.8720665655394084 #278, triangle 93
-1.920947992100084 #279, triangle 93
-1.2249499869531075 #280, triangle 94
-0.8899331706799736 #281, triangle 94
-0.11963401829909184 #282, triangle 94
4.028110756909017 #283, triangle 95
4.49096453864955 #284, triangle 95
2.6640074872983375 #285, triangle 95
-1.3921190236230496 #286, triangle 96
-1.2351001444307141 #287, triangle 96
-1.1248366877363767 #288, triangle 96
-0.23121897129610072 #289, triangle 97
0.21504826221903345 #290, triangle 97
-0.4380169643327416 #291, triangle 97
-0.19146137554342105 #292, triangle 98
0.1730080975707294 #293, triangle 98
-0.5250396486519621 #294, triangle 98
-0.1972615554705047 #295, triangle 99
0.2942875227470447 #296, triangle 99
-0.617108745846707 #297, triangle 99
-0.42282179520926516 #298, triangle 100
-0.2342826990304069 #299, triangle 100
-0.10429905887446957 #300, triangle 100
-0.32234812020897097 #301, triangle 101
-0.13536025078967598 #302, triangle 101
0.20901432210740487 #303, triangle 101
0.42381116579418077 #304, triangle 102
0.6495805125846255 #305, triangle 102
-0.03819787865353599 #306, triangle 102
3.633600252871182 #307, triangle 103
2.53000463392035 #308, triangle 103
3.397033259937469 #309, triangle 103
-0.4779386020195226 #310, triangle 104
-0.5293705188442033 #311, triangle 104
-0.4996587803876599 #312, triangle 104
0.0007988587731692726 #313, triangle 105
0.6389002036659897 #314, triangle 105
0.8847464458449179 #315, triangle 105
-0.4142668586513287 #316, triangle 106
0.49145628298387617 #317, triangle 106
0.9572711283902825 #318, triangle 106
-0.7730264777819709 #319, triangle 107
-1.4487859891203319 #320, triangle 107
-1.342555740873439 #321, triangle 107
0.646329102767476 #322, triangle 108
0.8458629963613213 #323, triangle 108
1.0559220598469092 #324, triangle 108
-0.5733694204200739 #325, triangle 109
-0.6329690802039583 #326, triangle 109
-0.5984524118122025 #327, triangle 109
1.4617815482502567 #328, triangle 110
1.0165595487932837 #329, triangle 110
1.2308168611574495 #330, triangle 110
1.3225353243416575 #331, triangle 111
1.4346965224278059 #332, triangle 111
1.219879187259789 #333, triangle 111
-1.14047208427702 #334, triangle 112
-0.7043312403413616 #335, triangle 112
-1.223487843119933 #336, triangle 112
-0.5279033933238478 #337, triangle 113
-0.5774769491895021 #338, triangle 113
-0.5488298114724478 #339, triangle 113
