TAPERS FOR JACOBIAN
0.40507625392281404 -0.5171944705623645 #1002, triangle 334
0.3077746554262079 -0.4999999999999983 #1003, triangle 335
-0.05247733308912449 -0.2000000000000011 #1004, triangle 335
0.3599109441313382 -1.0 #1005, triangle 335
0.2959792910525636 -0.7782650757820357 #1006, triangle 336
0.3729045955150658 -0.4839120262049499 #1007, triangle 336
0.10454970395761688 -0.2104989922433386 #1008, triangle 336
-0.3203342618384321 -3.8436383621869923 #1009, triangle 337
-0.03139013452916757 -0.1619649716060498 #1010, triangle 337
-0.346590909090901 -0.5639934695492942 #1011, triangle 337
-0.2413544235280194 -0.5771421754302295 #1012, triangle 338
0.5788893988067164 0.24060120869633558 #1013, triangle 338
0.1538771129595373 -0.15481208097661 #1014, triangle 338
-0.3911290322580634 -0.5609538761828009 #1015, triangle 339
-0.2801484230055823 -3.4977178874158703 #1016, triangle 339
-0.16602316602315648 -0.16364844133044265 #1017, triangle 339
-0.1991029369438125 -0.4348961289590175 #1018, triangle 340
0.49860381849964686 0.14904486894712565 #1019, triangle 340
0.20089505575256605 -0.2451975174859525 #1020, triangle 340
-0.9355599214145779 -0.19999999999998141 #1021, triangle 341
-0.016928158546664376 0.19999999999998141 #1022, triangle 341
0.32559127602322663 0.5000000000000291 #1023, triangle 341
-0.10675675675675825 0.06699655932270779 #1024, triangle 342
0.27561643835617 0.7768621644240109 #1025, triangle 342
-0.6765609007164756 -0.2998143205292166 #1026, triangle 342
0.18500407497962443 -0.5856224175960717 #1027, triangle 343
-0.21445404556166514 -0.1503074121486404 #1028, triangle 343
-0.47801147227533414 0.24420138485163304 #1029, triangle 343
0.2 -0.8660797034291562 #1030, triangle 344
-0.2 -0.0372182871860744 #1031, triangle 344
-0.4999999999999274 0.31569794050341327 #1032, triangle 344
0.1480900614445899 0.2813684721438794 #1033, triangle 345
0.5898549646708863 -0.09785257888149848 #1034, triangle 345
-0.24594715373717155 0.38969113232510944 #1035, triangle 345
-0.16138447146864893 -0.6095076400679514 #1036, triangle 346
0.44838348271446987 0.2536382536382515 #1037, triangle 346
0.23521583347551253 -0.13805522208882118 #1038, triangle 346
0.16138447146864893 0.062352141400427975 #1039, triangle 347
-0.23521583347551253 -1.3067968959058118 #1040, triangle 347
0.5650463896732628 0.3584366532555972 #1041, triangle 347
0.2 -0.253996263234375 #1042, triangle 348
-0.2 -0.4233873343151735 #1043, triangle 348
0.5000000000000103 0.13757724845501798 #1044, triangle 348
-0.3122959738846525 0.2862114683460574 #1045, triangle 349
0.04387291981844194 0.38403923316988176 #1046, triangle 349
-0.35505617977531795 -0.0901024611809467 #1047, triangle 349
0.2725881763262799 0.4063954279493938 #1048, triangle 350
-0.6661995651123344 -0.11881509456229691 #1049, triangle 350
-0.11131880881783758 0.2674874914156669 #1050, triangle 350
-0.27853412107200015 -0.3638234983637665 #1051, triangle 351
-0.39304039555931286 -0.07745943771512304 #1052, triangle 351
0.10227999147662403 -0.3041766561514234 #1053, triangle 351
-0.29904898618337317 0.09128259151957088 #1054, triangle 352
0.06835201526352432 0.7133642077407779 #1055, triangle 352
-0.3694763922518408 -0.28548353696412676 #1056, triangle 352
-0.2487632508833915 -0.3338913211434094 #1057, triangle 353
0.5968556990454726 0.001251805488668137 #1058, triangle 353
0.14446680080482993 -0.332775812158258 #1059, triangle 353
-0.28277203005352297 -2.4941363833792285 #1060, triangle 354
-0.15487365505746076 -0.1707876300332579 #1061, triangle 354
-0.38804400057145677 -0.548289286516451 #1062, triangle 354
0.04751381215469369 -0.5569350145489925 #1063, triangle 355
-0.31039999999999207 -0.1658919233004006 #1064, triangle 355
-0.3570836785418428 0.23142818899746204 #1065, triangle 355
0.22216134334610224 -0.3495369363885637 #1066, triangle 356
-0.17653882898866552 -0.3175142202224238 #1067, triangle 356
-0.5383448583537921 0.03359980765760378 #1068, triangle 356
-0.2221613433461237 0.4595814719022359 #1069, triangle 357
0.17653882898868425 0.2271864621223958 #1070, triangle 357
0.5383448583537921 -0.17083103550669357 #1071, triangle 357
0.12774869109947704 -0.7132936507936695 #1072, triangle 358
-0.2611973392461267 -0.09131121642969867 #1073, triangle 358
-0.4142217802088567 0.2854658385093372 #1074, triangle 358
0.3005004627566497 -0.44477806209232895 #1075, triangle 359
-0.06577546839411766 -0.2378502363422089 #1076, triangle 359
0.3678669611068626 -0.43078213142247485 #1077, triangle 359
0.6362771523704949 -0.11116264687694552 #1078, triangle 360
-0.2631289019464462 0.40004175074802617 #1079, triangle 360
0.12504088084603024 0.2726927699411794 #1080, triangle 360
0.12887663680221065 0.17005356687360437 #1081, triangle 361
0.6282306163021728 -0.2278606178064583 #1082, triangle 361
-0.2603861907548395 0.549574911322475 #1083, triangle 361
0.2000000000000015 0.46908295867462374 #1084, triangle 362
-0.2000000000000015 3.607334593572615 #1085, triangle 362
0.4999999999999976 0.4503390230835226 #1086, triangle 362
0.3854763491007337 0.3530304321882317 #1087, triangle 363
0.284972812654464 0.04785309954438186 #1088, triangle 363
-0.09210732778904046 -1.2234975496517608 #1089, triangle 363
0.5074067294751006 0.4067573643281796 #1090, triangle 364
0.19530145416544248 0.2279746311870929 #1091, triangle 364
-0.20464399576713996 -3.885059978189666 #1092, triangle 364
0.19588861716185238 0.21435378941699434 #1093, triangle 365
-0.20406955410092162 -3.402136057580579 #1094, triangle 365
0.5064739422881418 0.4035251974273338 #1095, triangle 365
0.5000000000000207 -0.30440703612634495 #1096, triangle 366
-0.20000000000000662 0.8003133704735176 #1097, triangle 366
0.20000000000000662 0.05871512669567934 #1098, triangle 366
-0.22971169985797454 -0.06976367756554966 #1099, triangle 367
-0.5113061769346008 -0.30666790404157485 #1100, triangle 367
-0.45602527609326415 -0.36110976847601006 #1101, triangle 367
-0.5781238503985355 -0.23843905580462793 #1102, triangle 368
-0.4641908489112764 -0.44397675174180884 #1103, triangle 368
-0.22394687752317996 -0.4254881999074667 #1104, triangle 368
0.512939881607513 0.3744899702047761 #1105, triangle 369
0.19184510384018402 0.1095028107853279 #1106, triangle 369
-0.20799196210707582 -1.6522959695206898 #1107, triangle 369
-0.4448413899038788 -0.5051474896272989 #1108, triangle 370
-0.23780375345811983 -1.0868293666801243 #1109, triangle 370
-0.43120284398578673 -0.19672583113882977 #1110, triangle 370
0.08110057223484486 0.001016555329602996 #1111, triangle 371
-0.2916550848993817 -1.0040786598688882 #1112, triangle 371
0.7390799959649262 0.3337843715266233 #1113, triangle 371
-0.3333462237518913 5.117229129667196 #1114, triangle 372
0.000029001479060168138 -0.12544647689137467 #1115, triangle 372
-0.3333204431640063 -0.6354199433783843 #1116, triangle 372
-0.25961063842247517 0.38447814451383516 #1117, triangle 373
-0.41622221595130937 0.43747734686480405 #1118, triangle 373
0.1299500570215127 9.023255813952089 #1119, triangle 373
-0.2524481019289131 0.03294355745446287 #1120, triangle 374
-0.42538727078665606 0.34721284683980497 #1121, triangle 374
0.13963709912678432 -1.1462258265751555 #1122, triangle 374
-0.4433609141055978 0.20000000000003088 #1123, triangle 375
0.15691875439007133 -0.49999999999995176 #1124, triangle 375
-0.2388924117522697 -0.20000000000003088 #1125, triangle 375
0.17391156321047638 1.1423720390922478 #1126, triangle 376
-0.22449110047303167 0.882682136154211 #1127, triangle 376
-0.4634127708337784 0.49208745684694843 #1128, triangle 376
-0.37780752083928043 0.008822578410085453 #1129, triangle 377
0.08112507090933882 -0.3373368967143565 #1130, triangle 377
-0.2916405263973654 -0.32935366920864767 #1131, triangle 377
-0.4926420140059226 0.46665520945220607 #1132, triangle 378
0.19519182929624493 2.0006446621970344 #1133, triangle 378
-0.20475106092389153 0.599896893929626 #1134, triangle 378
-0.3171104274954762 -0.5 #1135, triangle 379
-0.349960859354616 -1.0 #1136, triangle 379
0.03440827958601305 -0.20000000000000123 #1137, triangle 379
-0.22217447357111653 -0.24989125706828139 #1138, triangle 380
-0.4667354306343406 0.14299913032673697 #1139, triangle 380
0.17652411282985056 -0.4287134866376909 #1140, triangle 380
-0.3663258890506159 -0.28662497870993614 #1141, triangle 381
0.06327357617936454 -0.25699733180401757 #1142, triangle 381
-0.30189654747933925 -0.41954038760243717 #1143, triangle 381
0.1161010771847449 -0.36392768129129965 #1144, triangle 382
-0.2693524361055771 -0.30408140106671316 #1145, triangle 382
-0.40410641882507714 0.05931076797220133 #1146, triangle 382
0.2000000000000042 -0.11131880881783758 #1147, triangle 383
-0.2000000000000042 -0.6661995651123558 #1148, triangle 383
0.4999999999999934 0.2725881763262623 #1149, triangle 383
0.07170163170161219 0.26298448725573975 #1150, triangle 384
-0.3716034637205257 0.25097953852850735 #1151, triangle 384
-0.29714084009881797 0.41198137821660435 #1152, triangle 384
0.08572091404709965 -0.4999999999999759 #1153, triangle 385
-0.28888487910502275 -0.20000000000003088 #1154, triangle 385
-0.380956984050259 0.20000000000003088 #1155, triangle 385
-0.3256180957390845 0.49999999999995176 #1156, triangle 386
0.01687116564417187 0.20000000000001544 #1157, triangle 386
-0.3411389036721709 1.0 #1158, triangle 386
0.1601025510144889 0.2000000000000253 #1159, triangle 387
0.5673803329049136 -0.2000000000000253 #1160, triangle 387
-0.23627886370109596 0.4999999999999473 #1161, triangle 387
0.2374229058118387 0.22574972405663274 #1162, triangle 388
0.4453606413660879 -0.1724786051347519 #1163, triangle 388
-0.15871453943262645 0.4616191134807363 #1164, triangle 388
0.12811816680798255 0.5651087984862843 #1165, triangle 389
-0.4145554848291952 -0.23524441144085548 #1166, triangle 389
-0.2609320623392358 0.16135010670559752 #1167, triangle 389
-0.24135442352800973 0.01692815854666471 #1168, triangle 390
0.15387711295950635 0.9355599214145055 #1169, triangle 390
-0.44003348915089846 -0.3255912760232401 #1170, triangle 390
0.5130040093804358 -0.14299913032676062 #1171, triangle 391
-0.208030177397317 0.4287134866376357 #1172, triangle 391
0.1918053105782548 0.2498912570682995 #1173, triangle 391
-0.11591800428575853 -0.5 #1174, triangle 392
0.4039534454092113 0.20000000000000123 #1175, triangle 392
0.26947748229319474 -0.20000000000000123 #1176, triangle 392
-0.21667254593849197 0.4850738127092185 #1177, triangle 393
0.18260229392719918 0.20972698400819464 #1178, triangle 393
0.5281005761726136 -0.19003058514463492 #1179, triangle 393
-0.20178324110938223 -0.3955803788246368 #1180, triangle 394
0.5028082230909219 0.10555936856554854 #1181, triangle 394
0.19820877341842655 -0.27640199888952177 #1182, triangle 394
0.08124262101534585 0.19999999999999007 #1183, triangle 395
-0.3778870375428702 1.0 #1184, triangle 395
-0.29157065232852697 0.5000000000000207 #1185, triangle 395
0.304207527667825 0.16138808343466104 #1186, triangle 396
0.42304947138332644 0.565039830593923 #1187, triangle 396
-14.92613964223799 -0.23521282948050706 #1188, triangle 396
0.40318235393163265 0.579091991573293 #1189, triangle 397
-3.3581241117954574 -0.24144136938089164 #1190, triangle 397
0.21293523825820623 0.15376893390143997 #1191, triangle 397
-0.20605316649507785 0.516221374045802 #1192, triangle 398
-0.4906480688445678 0.45665925799281665 #1193, triangle 398
0.19385382393738718 2.763478260869558 #1194, triangle 398
0.34040544293251657 0.6236739709195138 #1195, triangle 399
-1.0687544996400489 -0.25879231873828784 #1196, triangle 399
0.01634574240478736 0.13107737959369897 #1197, triangle 399
-0.11650485436892694 0.12108583444846796 #1198, triangle 400
0.26907630522088893 0.6447161768005342 #1199, triangle 400
-0.6546762589928073 -0.2659109053169337 #1200, triangle 400
-0.652925920776988 -0.3090966619205814 #1201, triangle 401
-0.11730319310957135 0.04998912334131238 #1202, triangle 401
0.2685289860715404 0.8261198547215549 #1203, triangle 401
-0.2030982345645381 0.47670384862466453 #1204, triangle 402
-0.4951869683075645 0.45139832071337005 #1205, triangle 402
0.19687758046514098 3.433304366717441 #1206, triangle 402
0.05808171425644664 0.5 #1207, triangle 403
-0.363194307175322 -0.2 #1208, triangle 403
-0.30475253518996664 0.2 #1209, triangle 403
-0.12504088084595308 -0.3333333333333333 #1210, triangle 404
-0.6362771523703941 6.45478502689024E-14 #1211, triangle 404
0.26312890194637945 -0.33333333333330467 #1212, triangle 404
0.3745604813861636 0.2 #1213, triangle 405
0.29450722015496067 -0.2 #1214, triangle 405
-0.07625603432860743 -0.5 #1215, triangle 405
-0.24985498839908485 0.1603980435149613 #1216, triangle 406
0.14304646732380089 0.5668412662263308 #1217, triangle 406
-0.42876087857436396 -0.2360343769184042 #1218, triangle 406
0.3529130687054273 0.49999999999998296 #1219, triangle 407
-1.2218212283302126 -0.20000000000001092 #1220, triangle 407
0.04754537668866074 0.20000000000001092 #1221, triangle 407
-0.37176938369781676 0.05249984738416329 #1222, triangle 408
0.07196029776674696 -0.35992393850149496 #1223, triangle 408
-0.29699248120299876 -0.30776263853890307 #1224, triangle 408
-0.3947900655287023 -0.2 #1225, triangle 409
-0.2770638124513834 0.2 #1226, triangle 409
0.10454608009539418 0.5 #1227, triangle 409
0.20262312327764578 4.731603891244524 #1228, triangle 410
-0.19735956123136014 0.43438315248213943 #1229, triangle 410
-0.5041462127401161 0.4453184396748345 #1230, triangle 410
0.833655705996139 -0.24519751748595786 #1231, triangle 411
-0.31039999999999207 0.5880276285495112 #1232, triangle 411
0.04751381215468493 0.14904486894712934 #1233, triangle 411
-0.19481706517626668 0.5796661272086304 #1234, triangle 412
-0.5081778076193829 0.4643684036443468 #1235, triangle 412
0.2051166368356436 2.137577248454995 #1236, triangle 412
-0.5041008711818749 0.4434397869013273 #1237, triangle 413
0.20259476334378404 5.347503746352378 #1238, triangle 413
-0.19738829476368708 0.42197101570856066 #1239, triangle 413
-0.468138298857395 -0.35344838865845185 #1240, triangle 414
-0.22120213192026572 -0.04895134584360595 #1241, triangle 414
-0.6133925060389801 -0.3138074250949531 #1242, triangle 414
-1.080827553779239 -0.22269587617115336 #1243, triangle 415
-0.504808795143647 -0.465985185995026 #1244, triangle 415
-0.1969400288374255 -0.5938978626203244 #1245, triangle 415
0.3206753933961824 0.31598496155372063 #1246, triangle 416
0.3462362599761718 -0.036649548998217735 #1247, triangle 416
-0.02718974190863997 0.351145215853014 #1248, triangle 416
-0.22323600973235172 -0.27063526888011 #1249, triangle 417
-0.5870270270270299 -0.2596075306305401 #1250, triangle 417
-0.4652094717668496 -0.4162261446107031 #1251, triangle 417
0.20272776998263906 0.5039246467817848 #1252, triangle 418
-0.1972535004699217 2.9386503067483396 #1253, triangle 418
0.49575954748789275 0.4550625711035244 #1254, triangle 418
-0.38461538461538486 -0.2847261967754813 #1255, triangle 419
-0.2857142857142855 0.09250461546892805 #1256, triangle 419
0.0909090909090907 0.7103605077029528 #1257, triangle 419
-0.5538787432240381 -0.3534449454662342 #1258, triangle 420
-0.16761165624459462 -0.0489422831041078 #1259, triangle 420
-2.8691162206880962 -0.3138106695627649 #1260, triangle 420
0.1937325397789376 -0.22079401236576576 #1261, triangle 421
0.5099093562759259 -0.4050668041073622 #1262, triangle 421
1.175989085948152 -0.2685685649855025 #1263, triangle 421
-0.5000000000000069 -0.40002900652646867 #1264, triangle 422
-0.2 -0.20011604293588703 #1265, triangle 422
-1.0 -0.27270330133951676 #1266, triangle 422
-0.1322278771958599 0.08179043163211076 #1267, triangle 423
0.25795310964480667 0.7372978421221594 #1268, triangle 423
-0.6213090088395778 -0.29124460495023735 #1269, triangle 423
-0.5023743471234824 -0.3930834213305177 #1270, triangle 424
-0.198484735158632 -0.17325848430721977 #1271, triangle 424
-1.038913495435236 -0.278497880072682 #1272, triangle 424
0.24967320261435158 -0.26048429549043645 #1273, triangle 425
0.263215859030858 -0.265423548215225 #1274, triangle 425
0.41169230769226745 -0.41511942871214047 #1275, triangle 425
0.24996366807149617 0.12000649561546665 #1276, triangle 426
0.4286188854746113 -0.26666215576155805 #1277, triangle 426
-0.14290459187911048 0.6470447761193836 #1278, triangle 426
-0.23521292367465643 -0.4474663922996738 #1279, triangle 427
0.5650400362592912 0.16058004876066645 #1280, triangle 427
0.16138797017770035 -0.2358836244263838 #1281, triangle 427
-0.98316633266533 -0.23526355563952486 #1282, triangle 428
-0.49893670886075975 -0.4483178734597799 #1283, triangle 428
-0.20068137573004505 -0.4548375319459682 #1284, triangle 428
0.5785146615511007 0.04361635755202766 #1285, triangle 429
0.15407733921058397 -0.3124286413309408 #1286, triangle 429
-0.2411933860532055 -0.3549147547884726 #1287, triangle 429
-0.11081760195862189 -0.11131880881785666 #1288, triangle 430
0.3997624771891276 3.0169343065701586 #1289, triangle 430
0.27292363617204424 -0.6661995651123022 #1290, triangle 430
0.16093179904574248 -0.9556445519117337 #1291, triangle 431
-0.23559192022499592 -0.011470444553006755 #1292, triangle 431
-0.44786673058485854 0.32813599840627355 #1293, triangle 431
0.2733790195045 0.28543756829243977 #1294, triangle 432
0.3992122335495693 -0.0913569330849163 #1295, triangle 432
-0.11013557133636735 0.38493645484949934 #1296, triangle 432
0.2768787408556835 -0.058787319175149864 #1297, triangle 433
-0.10482985729965102 -0.8001046572474593 #1298, triangle 433
0.3950108985226625 0.3043676069154023 #1299, triangle 433
-0.22993396152540874 0.03563771943451218 #1300, triangle 434
-0.4557138002409703 0.3482842897643926 #1301, triangle 434
0.1676447353571805 -1.1596159198441136 #1302, triangle 434
0.27459289849061563 -0.2984743231838009 #1303, triangle 435
-0.10830821067565534 -0.37011563544691656 #1304, triangle 435
0.39774952043822615 0.0693652570838114 #1305, triangle 435
-0.2485845593781118 -0.018157661647463838 #1306, triangle 436
-0.3435334402261071 -0.32559127602322224 #1307, triangle 436
-0.43042466416276903 -0.34116635621149566 #1308, triangle 436
-0.7372978421221257 -0.2 #1309, triangle 437
-0.08179043163209099 0.2 #1310, triangle 437
0.29124460495022575 0.5000000000000145 #1311, triangle 437
-0.3197368878989397 0.2 #1312, triangle 438
0.029107887939598013 0.5000000000000145 #1313, triangle 438
-0.3472128468398168 -0.2 #1314, triangle 438
-1.4595642293811446 -0.33333333333332477 #1315, triangle 439
-0.5223136633868976 -0.3333333333333333 #1316, triangle 439
-0.1860916703750221 0.0 #1317, triangle 439
0.2187049707734782 -0.000029004843793649517 #1318, triangle 440
0.47176377883815873 -0.3333462237518956 #1319, triangle 440
0.6476974021097127 -0.33332044316401055 #1320, triangle 440
-0.0693540051679629 2.1949991317938014 #1321, triangle 441
0.3701085169352127 0.4634891666489963 #1322, triangle 441
0.2984807167900342 0.5720681507275103 #1323, triangle 441
-0.04428517540554149 -0.34826979472140285 #1324, triangle 442
0.3552838231994406 0.031163321912228856 #1325, triangle 442
0.3120825414064761 -0.3187241854061455 #1326, triangle 442
-0.21870497077348688 0.33333333333332477 #1327, triangle 443
0.18037743024195593 0.3333333333333333 #1328, triangle 443
-0.471763778838148 0.0 #1329, triangle 443
0.18252123890433405 -0.17247860513476754 #1330, triangle 444
-0.21674697036063093 -0.5453419422848862 #1331, triangle 444
0.5282359312687706 0.225749724056648 #1332, triangle 444
-0.22945205479451558 -0.3748462262102928 #1333, triangle 445
0.5528255528255547 0.07668998707722867 #1334, triangle 445
0.16820702402957297 -0.2942538914813152 #1335, triangle 445
0.4622718764623291 0.13805522208882118 #1336, triangle 446
0.22529101825756553 -0.2536382536382515 #1337, triangle 446
-0.1730019620667085 -0.4238488783943637 #1338, triangle 446
0.30195743562795657 0.06709017663465622 #1339, triangle 447
-0.0631639264777168 -1.3359844810862205 #1340, triangle 447
0.3662588316388125 0.3601523667951815 #1341, triangle 447
-0.30886308261873696 -0.3932913718284579 #1342, triangle 448
-0.06317394619322299 -0.2421835182831948 #1343, triangle 448
-0.35873599842328907 -0.43891936994734193 #1344, triangle 448
-0.301733543459816 -0.2912446049502279 #1345, triangle 449
-0.4225639922563971 -0.37825831472559096 #1346, triangle 449
-0.2546359971543808 -0.12156031375873372 #1347, triangle 449
0.3200625325690352 -0.26303252404947924 #1348, triangle 450
-0.028443782576312332 -0.4119213437116182 #1349, triangle 450
0.34687367077840786 0.12517672648177508 #1350, triangle 450
-0.3844918712785173 -0.41937354445888725 #1351, triangle 451
-0.28582080278364325 -0.28580601064601674 #1352, triangle 451
-0.14243139202781332 -0.25712818303815677 #1353, triangle 451
-0.21735293376030582 0.17653882898869228 #1354, triangle 452
0.18186011571358818 0.5383448583537463 #1355, triangle 452
-0.47374044170393065 -0.22216134334614995 #1356, triangle 452
0.18114830438832147 0.5651087984862952 #1357, triangle 453
-0.47278852389010484 -0.23524441144085548 #1358, triangle 453
-0.21800321766314126 0.16135010670559752 #1359, triangle 453
-0.2341528436018953 0.2764019988894903 #1360, triangle 454
0.16265889401668193 0.39558037882467445 #1361, triangle 454
-0.4498477598956065 -0.10555936856551484 #1362, triangle 454
-0.43760652765186364 -0.33332044316401055 #1363, triangle 455
-0.24316357250376586 0.000029001479060167575 #1364, triangle 455
0.1516152845642799 0.9998840041759107 #1365, triangle 455
0.1490448689471355 0.3746103095773126 #1366, triangle 456
-0.4348961289590164 -0.07633178405435291 #1367, triangle 456
-0.24519751748596333 0.2944630299720027 #1368, triangle 456
0.13489860255023178 0.8173958882445634 #1369, triangle 457
-0.4208285648889898 -0.30755146697631214 #1370, triangle 457
-0.2559889932016798 0.05289518690450148 #1371, triangle 457
0.2756164383561621 0.07670692135282914 #1372, triangle 458
-0.10675675675675884 -1.3985400191188246 #1373, triangle 458
0.39652069586082306 0.36356086371905544 #1374, triangle 458
-0.23653843600196672 -0.032165712361073136 #1375, triangle 459
-0.44281548679734783 -0.320035507284219 #1376, triangle 459
-0.44656921380081976 -0.3469018061697438 #1377, triangle 459
-0.17195080519128153 -0.5293394777265831 #1378, triangle 460
0.46096350541668596 0.21735180558708395 #1379, triangle 460
0.22621118801194404 -0.18186134852800365 #1380, triangle 460
0.19348162380182085 2.4281217643403923 #1381, triangle 461
-0.20641385637632423 0.5455000790847313 #1382, triangle 461
-0.4900974374382979 0.46032301269865844 #1383, triangle 461
0.4010201152597753 -0.16538221356940758 #1384, triangle 462
-0.11236553621786029 0.4530243093217639 #1385, triangle 462
0.27188537340239666 0.23186044152946228 #1386, triangle 462
-0.22118824586167038 -0.41174660169274324 #1387, triangle 463
0.5364891239781643 0.12497956069113192 #1388, triangle 463
0.17762662258475131 -0.2631723884707327 #1389, triangle 463
-0.22275960170696757 -0.8946648566441746 #1390, triangle 464
-0.5930824008138386 -0.20454881045521148 #1391, triangle 464
-0.46589358799454667 -0.4929525911519497 #1392, triangle 464
0.494086111173201 -0.43823046134400573 #1393, triangle 465
0.9106611774178908 -0.24269738183301193 #1394, triangle 465
0.2038119409229499 -0.3890613605583948 #1395, triangle 465
-0.06417175497340905 -0.29958260685792487 #1396, triangle 466
0.3668766987892264 -0.09229257768102685 #1397, triangle 466
0.30139685340391187 -0.36888384310583117 #1398, triangle 466
0.45299191740814027 -0.46888425187185684 #1399, triangle 467
0.4883755313250787 -0.22068648951905026 #1400, triangle 467
0.23188372414428465 -0.6202958247519273 #1401, triangle 467
0.19999999999999973 0.41192134371158606 #1402, triangle 468
-0.5 -0.12517672648180225 #1403, triangle 468
-0.19999999999999932 0.26303252404950495 #1404, triangle 468
0.1875266205696586 -0.09116800101263554 #1405, triangle 469
-0.21209617885893192 -0.7136467547957134 #1406, triangle 469
0.5199563870877925 0.2855543670240614 #1407, triangle 469
-0.48996391915087706 -0.08316812533242911 #1408, triangle 470
-0.20650138991319747 0.2904215706453703 #1409, triangle 470
0.19339119402554406 0.37919724816510897 #1410, triangle 470
-0.49022551260618985 0.050476066257977126 #1411, triangle 471
0.19356830171736333 -0.358762073723644 #1412, triangle 471
-0.20632991797619057 -0.30883888730655196 #1413, triangle 471
0.1723737899031928 -0.2768315661137277 #1414, triangle 472
-0.22584145634156086 -0.3950672102692329 #1415, triangle 472
0.5455240606460109 0.10490214011341978 #1416, triangle 472
0.448387613027125 0.2785594018435541 #1417, triangle 473
0.23521282948050906 -0.10224084662097467 #1418, triangle 473
-0.16138808343466415 -0.6870311990433607 #1419, triangle 473
0.2111084510414178 -0.3848008034817527 #1420, triangle 474
-0.18857424279734275 -0.28555445052212963 #1421, triangle 474
-0.5182435832913966 0.09116786589704855 #1422, triangle 474
-0.5085434827987177 -0.12500000000000452 #1423, triangle 475
-0.19458765929645983 0.26315789473684453 #1424, triangle 475
0.20534008480763002 0.4117647058823499 #1425, triangle 475
-1.3234174538277401 -0.30840429470566166 #1426, triangle 476
-0.5168147301140497 -0.3592307692307724 #1427, triangle 476
-0.1894514185864726 -0.0645367412140549 #1428, triangle 476
0.2601307751871319 -0.2089364727422658 #1429, triangle 477
0.2613882766559293 -0.8068020717824899 #1430, triangle 477
0.4139817750792701 -0.486266872071583 #1431, triangle 477
-0.22732988019453665 0.05913666609792578 #1432, triangle 478
0.1706658744642035 0.7990957570137076 #1433, triangle 478
-0.4593786436980479 -0.3041766561514015 #1434, triangle 478
-0.24445195513444745 0.3717201166180751 #1435, triangle 479
0.1499904940821626 0.29703652653342455 #1436, triangle 479
0.5862249818878444 -0.07188353048225778 #1437, triangle 479
-0.418899858956279 0.5192672471733909 #1438, triangle 480
-0.2834890965732115 0.18794762120260747 #1439, triangle 480
8.583333333334702 -0.21169985120101842 #1440, triangle 480
-0.4210786558007492 0.5214975888392631 #1441, triangle 481
-0.2942476970317303 0.18658754565741192 #1442, triangle 481
11.037709497204292 -0.2129773103850165 #1443, triangle 481
-13.731457800510338 -0.32559127602322224 #1444, triangle 482
0.13672068113154454 -0.018157661647463838 #1445, triangle 482
0.6121844811467931 -0.34116635621149566 #1446, triangle 482
0.5859395295857468 -0.3884247609461564 #1447, triangle 483
10.779420125066453 -0.28244700632205366 #1448, triangle 483
0.15014057563548627 -0.15623215984776606 #1449, triangle 483
1.5100354191263647 -0.26137543124326884 #1450, triangle 484
0.1849660692535231 -0.26020541905966127 #1451, triangle 484
0.5241718889883655 -0.41399791671282876 #1452, triangle 484
1.597914252607159 -0.2533193111607772 #1453, triangle 485
0.18314000980231668 -0.31043862631757657 #1454, triangle 485
0.5272037115141299 -0.4242605318195394 #1455, triangle 485
0.21058148291372528 -0.4595984137185097 #1456, triangle 486
0.4837880819482971 -0.4489993964425631 #1457, triangle 486
0.776795105720728 -0.2347682269474925 #1458, triangle 486
0.1612946684180389 2.298068216118253 #1459, triangle 487
-0.23529050485198358 0.559544232492639 #1460, triangle 487
-0.44828082808281 0.4620147506955824 #1461, triangle 487
-0.2949424136204255 -0.3037573562697927 #1462, triangle 488
-0.37407013815091267 0.05990220048895674 #1463, triangle 488
0.07550886408403663 -0.36428233064899534 #1464, triangle 488
-0.23536308482525367 0.6698068140561424 #1465, triangle 489
-0.44818107444777516 0.4739965810319486 #1466, triangle 489
0.1612073453305732 1.6542232991329953 #1467, triangle 489
-0.29164954682779737 0.37420780067359966 #1468, triangle 490
-0.377797256883572 0.4357639921489274 #1469, triangle 490
0.08110989183257726 11.206733608973103 #1470, triangle 490
-0.3104000000000029 0.31308081082549155 #1471, triangle 491
0.047513812154695 0.35422037888129887 #1472, triangle 491
-0.3570836785418315 -0.042351693310112966 #1473, triangle 491
-0.33333333333333764 0.7936188732478753 #1474, triangle 492
-0.3333333333333312 0.48519099226382717 #1475, triangle 492
-6.439808727524077E-15 0.2096492397504827 #1476, triangle 492
-0.4057279236276927 0.48958383799234434 #1477, triangle 493
0.1180285343709489 1.1951108842380116 #1478, triangle 493
-0.26803013993541297 0.8490632267123037 #1479, triangle 493
-0.2026272410786453 0.10804523943207993 #1480, triangle 494
0.19735538884368717 0.6736127937969945 #1481, triangle 494
-0.49591505855082707 -0.274766842757423 #1482, triangle 494
-0.31872418540615827 0.43466543972658744 #1483, triangle 495
-0.3482697947213986 0.4453606413660681 #1484, triangle 495
0.031163321912229418 4.719351351351031 #1485, triangle 495
10.023255813953835 -0.2145470603078471 #1486, triangle 496
-0.42030934767988987 0.5242747063034224 #1487, triangle 496
-0.29041916167664816 0.18490393113155104 #1488, triangle 496
