TAPERS FOR JACOBIAN
0.5250933613719645 0.5728002837526306 #215, triangle 72
0.18440970423264594 -5.282414307004659 #216, triangle 72
-0.06774068322981172 0.29051981822158696 #217, triangle 73
0.30733560534107707 -0.12426057761936599 #218, triangle 73
0.36038602406837195 0.3790850352149254 #219, triangle 73
0.5331156287370094 0.13511220064114077 #220, triangle 74
-0.6379862987870126 10.96869565217186 #221, triangle 74
-1.7921881446844126 0.6154310634015462 #222, triangle 74
-0.5565015479876528 0.1143112745707109 #223, triangle 75
0.22572679313054186 3.288272602910029 #224, triangle 75
0.46165171998393545 0.6595177735423117 #225, triangle 75
0.21995614798315494 -0.39560424733866845 #226, triangle 76
0.5341643032484057 0.5801749688578339 #227, triangle 76
0.17899595230681992 -7.470605228946849 #228, triangle 76
1.08679872977457 0.2787053539602202 #229, triangle 77
0.018838201509691524 -0.17233934087024036 #230, triangle 77
0.928677932405611 0.39283717462881207 #231, triangle 77
0.24999999999999745 -0.060807999818460065 #232, triangle 78
0.6000000000000024 0.8293894182813739 #233, triangle 78
0.1428571428571408 1.2975038395351812 #234, triangle 78
0.25633346823149455 0.8728662006177763 #235, triangle 79
0.6168098818475101 0.31674726393483754 #236, triangle 79
0.1344324069712596 0.035133435169379494 #237, triangle 79
0.5390646225499787 0.5357313006193438 #238, triangle 80
-0.5959454034524257 0.220788220008662 #239, triangle 80
-2.025732484076467 0.17807217907720502 #240, triangle 80
0.4560239955154038 0.1252444058222878 #241, triangle 81
-2.830731929080078 5.063436123347488 #242, triangle 81
-0.5112962925507061 0.6358468219502704 #243, triangle 81
0.3333333333333333 -0.000029004843812970064 #244, triangle 82
1.0 0.9998840041758335 #245, triangle 82
0.0 1.000116029471502 #246, triangle 82
0.22850209118603265 -0.6416840848014292 #247, triangle 83
0.5508789523360147 0.5326228795128319 #248, triangle 83
0.16931116917773198 -1.7746933505487266 #249, triangle 83
0.10525591002984086 0.4595204513399104 #250, triangle 84
0.3953431770241688 0.17078136930517435 #251, triangle 84
0.2766004824642834 0.22722960151801994 #252, triangle 84
0.41845764854615586 -0.5389558232932006 #253, triangle 85
8.214285714285332 0.5483002356109126 #254, triangle 85
-0.28133704735375814 -2.4947916666665892 #255, triangle 85
1.4971098265897205 0.9201335745095813 #256, triangle 86
0.0664605873261192 0.32354746317510646 #257, triangle 86
0.7783505154639213 0.02123880707464258 #258, triangle 86
-0.5322602101902686 -0.08669354838709815 #259, triangle 87
0.2278175560742005 0.7841907151819207 #260, triangle 87
0.4586897264780396 1.4686648501362778 #261, triangle 87
0.7196401799100081 -0.08245269107888657 #262, triangle 88
-0.1376011773362418 0.7908843007401851 #263, triangle 88
1.9373433583955855 1.4382040816325905 #264, triangle 88
0.7646696758308019 0.31240154272366494 #265, triangle 89
-0.10002616203014815 -0.052911021603805466 #266, triangle 89
1.5716421629706607 0.35494363748528146 #267, triangle 89
-0.8574210657164142 0.2330204244823479 #268, triangle 90
0.20633547062641075 -0.47681546052338214 #269, triangle 90
0.4902170390124393 0.45141372327415263 #270, triangle 90
0.3844549053172081 -0.6851071624839973 #271, triangle 91
1.9932444136496126 0.5271658396283199 #272, triangle 91
-0.1423040651213752 -1.5967713938553254 #273, triangle 91
0.3235655108929035 -0.11119698579846413 #274, triangle 92
0.9202671676060374 0.7498913515862667 #275, triangle 92
0.02120102120102585 1.667439837634119 #276, triangle 92
0.2854746868205917 -0.18706247230837983 #277, triangle 93
0.7133289234330641 0.6760033765635808 #278, triangle 93
0.091296905859129 2.705169628432912 #279, triangle 93
0.349960859354616 -0.46908348225681096 #280, triangle 94
1.1813008772622036 0.5619710587169474 #281, triangle 94
-0.03989981563292994 -3.60732196589753 #282, triangle 94
0.36354295650340507 0.5728002837526294 #283, triangle 95
1.3981942354438808 0.2387029429591199 #284, triangle 95
-0.07665567341120404 0.15715111185669706 #285, triangle 95
-0.7034904766008905 0.23132162451709135 #286, triangle 96
0.21496685054031153 -0.4942017740684024 #287, triangle 96
0.47725265134484873 0.45377468416533767 #288, triangle 96
1.3977785491149652 0.8748773841961954 #289, triangle 97
0.058630921927750615 0.3170544944059135 #290, triangle 97
0.8005569091542412 0.03452008660089171 #291, triangle 97
-0.4009403842804977 1.0030274802048949 #292, triangle 98
0.24126761971407062 0.33366853606652874 #293, triangle 98
0.4401503201262262 -0.0007551553877327075 #294, triangle 98
-0.5317112086159262 1.24143134296185 #295, triangle 99
