SKEWS FOR JACOBIAN
0.20803065242031876 #285, triangle 95
-0.4986668468778491 #286, triangle 96
0.1462097475526585 #287, triangle 96
0.6375786040850803 #288, triangle 96
0.401677388239725 #289, triangle 97
-0.7330198889382877 #290, triangle 97
-0.21923010922895111 #291, triangle 97
-0.6005917159763245 #292, triangle 98
-0.12161035817452846 #293, triangle 98
0.5271522145838047 #294, triangle 98
0.36758720406703055 #295, triangle 99
-0.8410711773807785 #296, triangle 99
-0.29646410274442875 #297, triangle 99
-0.38262947399232583 #298, triangle 100
0.3019238323128867 #299, triangle 100
0.7652578613366124 #300, triangle 100
0.7968730241694212 #301, triangle 101
-0.3383931638798876 #302, triangle 101
0.3189839355199635 #303, triangle 101
0.41541370791412596 #304, triangle 102
-0.8653760756591908 #305, triangle 102
-0.3197334319972799 #306, triangle 102
0.3181321581083149 #307, triangle 103
-0.8346852414837622 #308, triangle 103
-0.31164415645914145 #309, triangle 103
0.7875479080575883 #310, triangle 104
-0.41327523676829925 #311, triangle 104
0.316362248876059 #312, triangle 104
-0.9928781120134439 #313, triangle 105
-0.3596344712786656 #314, triangle 105
0.36074707498855396 #315, triangle 105
-0.3622422593125351 #316, triangle 106
0.24135563193973417 #317, triangle 106
0.6812811210147756 #318, triangle 106
-0.42797928258792645 #319, triangle 107
0.28564106405000567 #320, triangle 107
0.7652463405118473 #321, triangle 107
-0.4682437462024788 #322, triangle 108
0.2660303168753836 #323, triangle 108
0.8225327903620773 #324, triangle 108
-0.892182090417195 #325, triangle 109
-0.31321465444640967 #326, triangle 109
0.3804478170557557 #327, triangle 109
-0.5434966769126711 #328, triangle 110
0.048259964057176204 #329, triangle 110
0.4681919568461153 #330, triangle 110
1.4823218202933408 #331, triangle 111
-0.27304977884651616 #332, triangle 111
0.2650803509790731 #333, triangle 111
0.46181185958445237 #334, triangle 112
1.532509502940402 #335, triangle 112
0.00917874441106687 #336, triangle 112
-0.02566988024964609 #337, triangle 113
0.9935723631515317 #338, triangle 113
-0.490522370986072 #339, triangle 113
0.4955509231466146 #340, triangle 114
1.4871268159486692 #341, triangle 114
0.04190854504881158 #342, triangle 114
0.196658546985866 #343, triangle 115
1.071610392394935 #344, triangle 115
-0.2049466729733444 #345, triangle 115
0.5175195898436664 #346, triangle 116
-0.46924393092164113 #347, triangle 116
0.08221247857066102 #348, triangle 116
1.4293127468397944 #349, triangle 117
-0.28588403479242586 #350, triangle 117
0.27042425180398677 #351, triangle 117
-0.4823423367740042 #352, triangle 118
-0.06643131031322445 #353, triangle 118
0.5176428107672699 #354, triangle 118
-0.32917643972292054 #355, triangle 119
0.40490852682751466 #356, triangle 119
-0.9482023290134165 #357, triangle 119
-0.9861693912117973 #358, triangle 120
-0.3039459897401529 #359, triangle 120
0.4838470939157192 #360, triangle 120
0.6951583459381042 #361, triangle 121
-0.4888181455065163 #362, triangle 121
0.22217217153371854 #363, triangle 121
0.38673059404343585 #364, triangle 122
-0.9136062333495797 #365, triangle 122
-0.3508440369643816 #366, triangle 122
-0.977918716090101 #367, triangle 123
-0.3500346176264706 #368, triangle 123
0.37460938296470464 #369, triangle 123
-0.9666338426352351 #370, triangle 124
-0.3550275914419211 #371, triangle 124
0.37139786250915746 #372, triangle 124
-0.852886133493033 #373, triangle 125
-0.2895081928825247 #374, triangle 125
0.6083516083060528 #375, triangle 125
-0.8692447353257756 #376, triangle 126
-0.30507003946237704 #377, triangle 126
0.37931853071042926 #378, triangle 126
0.7615806262506241 #379, triangle 127
-0.36204867688422554 #380, triangle 127
0.3040779303334001 #381, triangle 127
-0.16890745680242777 #382, triangle 128
0.6825915987343205 #383, triangle 128
-0.740648231786932 #384, triangle 128
0.29097260168352856 #385, triangle 129
0.7873859978540714 #386, triangle 129
-0.3705858499197323 #387, triangle 129
0.3261490655148132 #388, triangle 130
0.9439935932875132 #389, triangle 130
-0.4167146742297088 #390, triangle 130
0.2991473845230054 #391, triangle 131
0.7782358398951583 #392, triangle 131
-0.34928097389325746 #393, triangle 131
0.4800802063270914 #394, triangle 132
-0.8788805237486399 #395, triangle 132
-0.24723533078955695 #396, triangle 132
-0.33107314058027276 #397, triangle 133
0.32245404103033565 #398, triangle 133
-0.8661311222309436 #399, triangle 133
-0.2924178312442552 #400, triangle 134
0.36112945622891124 #401, triangle 134
-0.8171508009598913 #402, triangle 134
-0.8659219313484166 #403, triangle 135
-0.3284995866331062 #404, triangle 135
0.3398807632022613 #405, triangle 135
0.33485513255984617 #406, triangle 136
0.8962748764833434 #407, triangle 136
-0.3929697341920938 #408, triangle 136
0.3497447412835662 #409, triangle 137
-0.7861886161829799 #410, triangle 137
-0.3015770496590929 #411, triangle 137
0.8960715553977199 #412, triangle 138
-0.3588991959223229 #413, triangle 138
0.35552691930444136 #414, triangle 138
0.8936328328792537 #415, triangle 139
-0.36784955773382877 #416, triangle 139
0.3388312976620337 #417, triangle 139
0.2903267623497138 #418, triangle 140
0.8234455805316151 #419, triangle 140
-0.3898722259812848 #420, triangle 140
0.7745624521307853 #421, triangle 141
-0.39286762801139696 #422, triangle 141
0.28457005518960027 #423, triangle 141
-0.8052191964152187 #424, triangle 142
-0.2924368861165032 #425, triangle 142
0.4097981969827953 #426, triangle 142
0.7988666838697812 #427, triangle 143
-0.3141578325544269 #428, triangle 143
0.3120991169669077 #429, triangle 143
-0.3171980708222233 #430, triangle 144
0.343271611967223 #431, triangle 144
-0.8673989915935802 #432, triangle 144
-0.4247599835118588 #433, triangle 145
0.23335376841179173 #434, triangle 145
0.6803266364074706 #435, triangle 145
0.34136515468682743 #436, triangle 146
-0.8174825030451878 #437, triangle 146
-0.3227238922779581 #438, triangle 146
0.3572971045557019 #439, triangle 147
-0.6185615730954329 #440, triangle 147
-0.20443293079645447 #441, triangle 147
-0.2946833233105438 #442, triangle 148
0.3682514699902775 #443, triangle 148
-0.7829608516239099 #444, triangle 148
-0.4129355552548097 #445, triangle 149
0.2488002615470575 #446, triangle 149
0.7542444434302363 #447, triangle 149
-0.8135311772460682 #448, triangle 150
-0.2740394709216898 #449, triangle 150
0.4305637494318074 #450, triangle 150
0.25836374007442503 #451, triangle 151
0.742345369443569 #452, triangle 151
-0.37446219830500216 #453, triangle 151
0.3470672406025335 #454, triangle 152
-0.8950139667976201 #455, triangle 152
-0.3401031121868367 #456, triangle 152
0.4349249721954784 #457, triangle 153
-0.8710655206357673 #458, triangle 153
-0.2862898435585789 #459, triangle 153
-0.3193848300816806 #460, triangle 154
0.3926810636293252 #461, triangle 154
-0.8496327108593628 #462, triangle 154
-0.6157817102039348 #463, triangle 155
-0.19932299272431137 #464, triangle 155
0.42225451006411413 #465, triangle 155
0.3638558292165952 #466, triangle 156
-0.7173182868582558 #467, triangle 156
-0.28503990309249294 #468, triangle 156
0.9203973192749059 #469, triangle 157
-0.38207531367814457 #470, triangle 157
0.3382851676081259 #471, triangle 157
0.38571763618669785 #472, triangle 158
-0.8173897347640321 #473, triangle 158
-0.29081778565836086 #474, triangle 158
0.7997467129603245 #475, triangle 159
-0.3884852924070184 #476, triangle 159
0.30127313291037894 #477, triangle 159
-0.27644285521172485 #478, triangle 160
0.507519164836488 #479, triangle 160
-0.8203235703636168 #480, triangle 160
-0.8156447536855215 #481, triangle 161
-0.2793139192240707 #482, triangle 161
0.5044878829093337 #483, triangle 161
-0.9170290286155459 #484, triangle 162
-0.3378322874629239 #485, triangle 162
0.5930546956517957 #486, triangle 162
0.4973359098802986 #487, triangle 163
-0.826088830058762 #488, triangle 163
-0.28851159825773515 #489, triangle 163
-0.9141078896734732 #490, triangle 164
-0.36208423116784255 #491, triangle 164
0.3579703394978745 #492, triangle 164
-0.8710449471986949 #493, triangle 165
-0.3512648659109071 #494, triangle 165
0.4671387011045898 #495, triangle 165
0.33708626082058624 #496, triangle 166
-0.7952866544404946 #497, triangle 166
-0.31931534655174937 #498, triangle 166
-0.30973582794413396 #499, triangle 167
0.3762622400350396 #500, triangle 167
-0.8239716151895182 #501, triangle 167
-0.41917135729514093 #502, triangle 168
0.32067197130841285 #503, triangle 168
0.8590095251322245 #504, triangle 168
-0.8253037371906644 #505, triangle 169
-0.283401338693917 #506, triangle 169
0.41836966910928186 #507, triangle 169
0.3105947467132515 #508, triangle 170
0.8426082107120494 #509, triangle 170
-0.4064798333508929 #510, triangle 170
0.8354367997099715 #511, triangle 171
-0.4185972867030126 #512, triangle 171
0.3127009438115824 #513, triangle 171
-0.2883501744301232 #514, triangle 172
0.3019640014933894 #515, triangle 172
-0.7476723333365228 #516, triangle 172
-0.7542414943235739 #517, triangle 173
-0.2698761051339199 #518, triangle 173
0.3513848148895437 #519, triangle 173
0.33234927259912966 #520, triangle 174
0.815832623017591 #521, triangle 174
-0.3467381582800279 #522, triangle 174
0.39238737419912173 #523, triangle 175
-0.8392348992679453 #524, triangle 175
-0.3081860681970515 #525, triangle 175
-0.3474923964360483 #526, triangle 176
0.3332599520172536 #527, triangle 176
0.8214318236204737 #528, triangle 176
0.7900308558885077 #529, triangle 177
-0.3436165664956139 #530, triangle 177
0.30965117891469296 #531, triangle 177
-0.3953094245442145 #532, triangle 178
0.32181219509887865 #533, triangle 178
0.8276429526151972 #534, triangle 178
-0.7419763746054587 #535, triangle 179
-0.2731383853258261 #536, triangle 179
0.373063478734466 #537, triangle 179
0.4128006758021126 #538, triangle 180
-0.8488157432273354 #539, triangle 180
-0.3016386169283136 #540, triangle 180
0.46393811824800885 #541, triangle 181
-0.7936009826020669 #542, triangle 181
-0.30153861242490043 #543, triangle 181
0.41784528392255266 #544, triangle 182
-0.8627556692928554 #545, triangle 182
-0.29183909456299184 #546, triangle 182
-0.30117823879033045 #547, triangle 183
0.37579368973176197 #548, triangle 183
-0.8279907027004593 #549, triangle 183
0.831818236090315 #550, triangle 184
-0.3242080160656047 #551, triangle 184
0.3258556968839902 #552, triangle 184
-0.88546176376367 #553, triangle 185
-0.3425181995540198 #554, triangle 185
0.3434844303202396 #555, triangle 185
0.7338452574187292 #556, triangle 186
-0.4204474473451357 #557, triangle 186
0.25276048184500793 #558, triangle 186
-0.3184692549986287 #559, triangle 187
0.3759406669405629 #560, triangle 187
-0.8392766964530229 #561, triangle 187
0.32803478230368877 #562, triangle 188
-0.6935160601668483 #563, triangle 188
-0.24986347891274313 #564, triangle 188
0.39590830922233267 #565, triangle 189
-0.6530448879922682 #566, triangle 189
-0.215674789128394 #567, triangle 189
-0.7032012170581312 #568, triangle 190
-0.2688553157697207 #569, triangle 190
0.3383657013511285 #570, triangle 190
-0.7172434412138372 #571, triangle 191
-0.2638009833899097 #572, triangle 191
0.3249473750541387 #573, triangle 191
-0.310765275249341 #574, triangle 192
0.31172271696536735 #575, triangle 192
-0.790917429305023 #576, triangle 192
0.7308226819239463 #577, triangle 193
-0.3361375426696434 #578, triangle 193
0.263131511868925 #579, triangle 193
0.7143372330729212 #580, triangle 194
-0.34267086602904173 #581, triangle 194
0.26762329924829203 #582, triangle 194
-0.6512589325135312 #583, triangle 195
-0.22101859271008684 #584, triangle 195
0.35263519369450846 #585, triangle 195
-0.3733361819256807 #586, triangle 196
0.2825022267172282 #587, triangle 196
0.7504778730733709 #588, triangle 196
0.7342676639921811 #589, triangle 197
-0.3869709373549658 #590, triangle 197
0.25373683484339604 #591, triangle 197
0.2908880050374222 #592, triangle 198
0.7454736930201382 #593, triangle 198
-0.3152262456062052 #594, triangle 198
-0.8728041731924815 #595, triangle 199
