ASPECT RATIOS FOR JACOBIAN
-0.8758360618281582 #321, triangle 107
2.458280206400961 #322, triangle 108
1.1261186249622959 #323, triangle 108
-0.9723133945839288 #324, triangle 108
1.0129603599853074 #325, triangle 109
1.0495259348470536 #326, triangle 109
-0.28195838059505046 #327, triangle 109
2.156698264145692 #328, triangle 110
1.0991615844512346 #329, triangle 110
-0.9352917348210263 #330, triangle 110
1.4823218202933408 #331, triangle 111
1.365248894232585 #332, triangle 111
-0.754488211824444 #333, triangle 111
1.5886182448400845 #334, triangle 112
1.0797612803238632 #335, triangle 112
41.03600405679286 #336, triangle 112
-0.11130116740104974 #337, triangle 113
1.4471983562761495 #338, triangle 113
-0.8973001935041146 #339, triangle 113
2.172166346479803 #340, triangle 114
1.0005811393853952 #341, triangle 114
10.567063129002578 #342, triangle 114
1.1466181506849187 #343, triangle 115
1.071610392394935 #344, triangle 115
-0.4598110365603157 #345, triangle 115
2.077224116152472 #346, triangle 116
3.0393043001916777 #347, triangle 116
-0.3329163954875699 #348, triangle 116
1.4293127468397977 #349, triangle 117
1.4294201739621333 #350, triangle 117
-0.7395786386236068 #351, triangle 117
1.1003215703787967 #352, triangle 118
2.2994813791003863 #353, triangle 118
-0.4804080701848504 #354, triangle 118
1.0689684770031092 #355, triangle 119
1.0602689400226897 #356, triangle 119
-0.8051704569706816 #357, triangle 119
1.2207549986047361 #358, triangle 120
1.0943109695732849 #359, triangle 120
-0.16025402749176743 #360, triangle 120
1.2063022395745953 #361, triangle 121
1.5445644095509863 #362, triangle 121
-0.4115162541671501 #363, triangle 121
1.0973120406271042 #364, triangle 122
1.0486722845789256 #365, triangle 122
-0.8960335779004207 #366, triangle 122
1.0373722657640254 #367, triangle 123
1.0507597093185876 #368, triangle 123
-0.20581539539197619 #369, triangle 123
1.0098802452272728 #370, triangle 124
1.1583877940722334 #371, triangle 124
-0.269684809003238 #372, triangle 124
1.0926101099738685 #373, triangle 125
7.3514939794855305 #374, triangle 125
-0.6222429026806129 #375, triangle 125
1.03291409320606 #376, triangle 126
1.0631814613438593 #377, triangle 126
-0.30987149532710906 #378, triangle 126
1.155017430715263 #379, triangle 127
1.2742884561961945 #380, triangle 127
-0.39490940272492014 #381, triangle 127
1.6933679841317195 #382, triangle 128
1.243945698421412 #383, triangle 128
-0.8709565414202927 #384, triangle 128
1.0004659691655804 #385, triangle 129
1.2709193884938081 #386, triangle 129
-0.984245292187657 #387, triangle 129
1.1630071503592596 #388, triangle 130
1.2241939448860255 #389, triangle 130
-0.9294158115965138 #390, triangle 130
1.0278802160391023 #391, triangle 131
1.2576567669700538 #392, triangle 131
-0.9717583100689281 #393, triangle 131
1.0368556888829323 #394, triangle 132
1.170817263496714 #395, triangle 132
-0.8480393495248875 #396, triangle 132
1.1798277540910336 #397, triangle 133
1.0463047131818968 #398, triangle 133
-0.7658765952778486 #399, triangle 133
1.1135688826501438 #400, triangle 134
1.0462057324045635 #401, triangle 134
-0.7423504722764929 #402, triangle 134
1.1215091765950833 #403, triangle 135
1.2446252198063794 #404, triangle 135
-0.40756075651742674 #405, triangle 135
1.107660908827993 #406, triangle 136
1.1611372637408715 #407, triangle 136
-0.9281211717154801 #408, triangle 136
1.0263006170036193 #409, triangle 137
1.201049664597104 #410, triangle 137
-0.9792510779233937 #411, triangle 137
1.1300410666428866 #412, triangle 138
1.8691889909939132 #413, triangle 138
-0.5851375320601047 #414, triangle 138
1.1938017885244327 #415, triangle 139
2.3113993820115293 #416, triangle 139
-0.7139974292024371 #417, triangle 139
1.0459986371033738 #418, triangle 140
1.292522243530227 #419, triangle 140
-0.9989073083047961 #420, triangle 140
1.2253985364245858 #421, triangle 141
1.6807405304724432 #422, triangle 141
-0.5866756755066004 #423, triangle 141
1.0928053024258715 #424, triangle 142
1.6653121736902792 #425, triangle 142
-0.5484964742696727 #426, triangle 142
1.3167819236583571 #427, triangle 143
1.8707816874690308 #428, triangle 143
-0.7456841428010255 #429, triangle 143
1.0692695582912377 #430, triangle 144
1.0425500478272742 #431, triangle 144
-0.7489322712841079 #432, triangle 144
1.4381773391868442 #433, triangle 145
1.0329620938009871 #434, triangle 145
-0.8410644978857752 #435, triangle 145
1.0037718151944117 #436, triangle 146
1.1979274867685692 #437, triangle 146
-0.9959187662218353 #438, triangle 146
1.2040298500262976 #439, triangle 147
1.3040584957502066 #440, triangle 147
-0.8522819239252889 #441, triangle 147
1.6062225522331948 #442, triangle 148
1.0080957393296122 #443, triangle 148
-0.8035637681291677 #444, triangle 148
2.250787757395236 #445, triangle 149
1.0159174206823227 #446, triangle 149
-0.9240221806398664 #447, triangle 149
1.0239644032278796 #448, triangle 150
1.2517229328868824 #449, triangle 150
-0.42105617826097 #450, triangle 150
1.033543104456665 #451, triangle 151
1.385041972879071 #452, triangle 151
-0.9330596383465528 #453, triangle 151
1.0079062421431175 #454, triangle 152
