TAPERS FOR SHAPE PARAMETERS
0.01301274245798648 0.012132089839307528 #366, triangle 122
0.013041594392404718 0.011380561574189785 #367, triangle 123
0.012876160827174169 0.011493031877324313 #368, triangle 123
0.012271237374047367 0.012547650510284369 #369, triangle 123
0.012702602882370666 0.011402190753393765 #370, triangle 124
0.01263721684567927 0.011445701210772033 #371, triangle 124
0.012163241235411001 0.012271732964939639 #372, triangle 124
0.01225807724144486 0.012070636947621883 #373, triangle 125
0.013682242524135703 0.01111459826633747 #374, triangle 125
0.013619606913868456 0.011242082011666415 #375, triangle 125
0.012907700922566752 0.011425639269117847 #376, triangle 126
0.012415675534011036 0.011748237280221193 #377, triangle 126
0.011858548923305234 0.012671257758856861 #378, triangle 126
0.012064004974072614 0.012753383907212484 #379, triangle 127
0.012285755797139792 0.012351745599756509 #380, triangle 127
0.012021816672432762 0.012777264379750995 #381, triangle 127
0.014375853672028725 0.011533248259114323 #382, triangle 128
0.013657704477134535 0.012906184981024731 #383, triangle 128
0.013935139693842679 0.011853355884051633 #384, triangle 128
0.012682218344346286 0.012944765982512261 #385, triangle 129
0.013163566495782715 0.012653160628431376 #386, triangle 129
0.012485883379188385 0.013259057167348024 #387, triangle 129
0.014375430487308147 0.01260186526744604 #388, triangle 130
0.014388923859294475 0.012592622099426722 #389, triangle 130
0.013728724531501443 0.013751322928170974 #390, triangle 130
0.013025304717033222 0.013725252780675698 #391, triangle 131
0.013552768463921214 0.01341533383313228 #392, triangle 131
0.012971841861439999 0.01380938207822439 #393, triangle 131
0.012037891357152586 0.012844788235349689 #394, triangle 132
0.013559991809707744 0.01065064191552151 #395, triangle 132
0.013089109216315247 0.010998424064124795 #396, triangle 132
0.012296486685815717 0.012408783481952682 #397, triangle 133
0.011923809393893923 0.0130008396429951 #398, triangle 133
0.012960766197067512 0.011996298685078257 #399, triangle 133
0.012796582264681892 0.012778125144005658 #400, triangle 134
0.012311010900099992 0.013549896530474238 #401, triangle 134
0.013556426862725143 0.012299023018894224 #402, triangle 134
0.013216145658985922 0.012326172217914117 #403, triangle 135
0.012714369787458369 0.01263888071539807 #404, triangle 135
0.012374599181065864 0.013188964935570851 #405, triangle 135
0.012906557986581451 0.012040508647397636 #406, triangle 136
0.012785503464520977 0.012117752787538566 #407, triangle 136
0.012662673561612686 0.012464633062245625 #408, triangle 136
0.012874676758740319 0.013691620978146428 #409, triangle 137
0.013470829310364802 0.01325717564726243 #410, triangle 137
0.012957575108967223 0.013560656322798476 #411, triangle 137
0.012724501006165557 0.01260383016692694 #412, triangle 138
0.012849747122939474 0.01257605844880999 #413, triangle 138
0.012894268018801018 0.0124998800692592 #414, triangle 138
0.012734218254066274 0.012049745736771261 #415, triangle 139
0.012407112820143989 0.012526622402533306 #416, triangle 139
0.012660881757002286 0.01209602434386211 #417, triangle 139
0.012763877182639992 0.01238363361516939 #418, triangle 140
0.013222927867019394 0.012091187912237027 #419, triangle 140
0.012335849672427618 0.013086634562384007 #420, triangle 140
0.012261018484388427 0.012024928180595354 #421, triangle 141
0.011935960686140343 0.012313066978741693 #422, triangle 141
0.012025692753366226 0.012166678700211951 #423, triangle 141
0.012940561312633872 0.012511364346152907 #424, triangle 142
0.012881657649727738 0.012547782743216737 #425, triangle 142
0.012721660478230108 0.012816952936379035 #426, triangle 142
0.013222393143130532 0.012761720854717776 #427, triangle 143
0.012196066563232954 0.013538913108771703 #428, triangle 143
0.012378725705277531 0.013259744242659004 #429, triangle 143
0.012812627250863181 0.012580085839675266 #430, triangle 144
0.012274959225016339 0.01344395334551977 #431, triangle 144
0.01352605644885127 0.012123699441212702 #432, triangle 144
0.012560987114615103 0.013206280159267362 #433, triangle 145
0.012548807193243115 0.013225564682801182 #434, triangle 145
0.012956261457029215 0.012987696939685312 #435, triangle 145
0.012747296690301908 0.013239970706404315 #436, triangle 146
0.013071550006185671 0.013033773340092623 #437, triangle 146
0.01276179405263442 0.013216673815841842 #438, triangle 146
0.011155629001672818 0.01380482594232758 #439, triangle 147
0.013129472194925837 0.01244045914442332 #440, triangle 147
0.011447917477446976 0.013400073098762498 #441, triangle 147
0.011767306143405131 0.012116971334692146 #442, triangle 148
0.011679435760897468 0.012257845839511115 #443, triangle 148
0.012129425870802252 0.011900794405254503 #444, triangle 148
0.011497107565987506 0.0125740997699441 #445, triangle 149
0.011948054404293506 0.01185272608240054 #446, triangle 149
0.012607887142513478 0.011435271185861977 #447, triangle 149
0.013176629838972644 0.01196834716116097 #448, triangle 150
0.012911094173402016 0.01214074406555864 #449, triangle 150
0.012462062939205942 0.012899091694957225 #450, triangle 150
0.011410267975441384 0.011882679611650923 #451, triangle 151
0.012255162194810657 0.011366670737876564 #452, triangle 151
0.011060008656741506 0.01242237689521568 #453, triangle 151
0.012555041941553862 0.013068987205942776 #454, triangle 152
0.013207447916239817 0.01231118685189804 #455, triangle 152
0.012892084303492504 0.012510148974551879 #456, triangle 152
0.012377453389046212 0.012787266102540735 #457, triangle 153
0.013265718696931661 0.011507656383893571 #458, triangle 153
0.013020513769016155 0.011674479161485564 #459, triangle 153
0.012791930180989779 0.012317822864130112 #460, triangle 154
0.012652998296377333 0.012554704824250893 #461, triangle 154
0.01273125611792823 0.012355481267886733 #462, triangle 154
0.012622084914508988 0.01269712801712894 #463, triangle 155
0.011823056567824895 0.013150531414098936 #464, triangle 155
0.011853150581864466 0.013105302601972707 #465, triangle 155
0.01199203150378996 0.012190805618133535 #466, triangle 156
0.011753991492794444 0.01269807842150243 #467, triangle 156
0.011625488795881251 0.012768860221662784 #468, triangle 156
0.013351946717335857 0.012237392315744233 #469, triangle 157
0.012884101686784057 0.012981783305502346 #470, triangle 157
0.013292680041862126 0.012276043896866776 #471, triangle 157
0.012016096682205633 0.012757851625612033 #472, triangle 158
0.012850130461877421 0.011851081026608505 #473, triangle 158
0.01239518974225999 0.01213833579959025 #474, triangle 158
0.012293113626101108 0.012185614090485651 #475, triangle 159
0.01217923961013228 0.012296903292820835 #476, triangle 159
0.012219683790067862 0.01222984763516114 #477, triangle 159
0.013165866274810064 0.011672450222685192 #478, triangle 160
0.012955764498733535 0.012057905950051365 #479, triangle 160
0.012621542045732162 0.012027806154633943 #480, triangle 160
0.012613673608080307 0.012202093713487447 #481, triangle 161
