TAPERS FOR JACOBIAN
-0.1938749368057145 -0.320554658681095 #184, triangle 62
-0.5096815995075833 0.027437225309092348 #185, triangle 62
0.20603268672571612 -0.34636173657496616 #186, triangle 62
0.5094692348883583 -0.06381022514847884 #187, triangle 63
-0.20590377838853588 0.36665466379735645 #188, triangle 63
0.1940077797605958 0.3015981887302734 #189, triangle 63
-0.21186820945076687 -0.3181511176496016 #190, triangle 64
-0.48185959912768656 0.032319906093912436 #191, triangle 64
0.18776888702265052 -0.3488693558849368 #192, triangle 64
0.5147614395943305 -0.034349031787407634 #193, triangle 65
-0.20907234298030353 0.3499297336768569 #194, triangle 65
0.19071711318716583 0.3171400581075858 #195, triangle 65
-0.5081782890294089 -0.01393583810852772 #196, triangle 66
-0.19481676303320516 0.32699234929565957 #197, triangle 66
0.20511693129815314 0.339735208654846 #198, triangle 66
-0.20284194933954156 -0.33798169673799516 #199, triangle 67
0.5044964526141317 0.010209662009375798 #200, triangle 67
0.19713771448438075 -0.3287171564303478 #201, triangle 67
-0.19078043112400772 -0.33638972194137945 #202, triangle 68
0.4861529527806388 0.006768270428774974 #203, triangle 68
0.20901185532383407 -0.3302908930450409 #204, triangle 68
-0.19526250615146748 -0.33112501125876714 #205, triangle 69
-0.5074686769087993 0.004927915574970174 #206, triangle 69
0.20468204099747667 -0.3355489947489171 #207, triangle 69
0.20177123381410228 0.32995472547334304 #208, triangle 70
0.49724160796030953 -0.007506758707574367 #209, triangle 70
-0.1982208881281323 0.3367291508971937 #210, triangle 70
0.49565111337916445 -0.01144008944703138 #211, triangle 71
-0.19718240301514395 0.33855726271047265 #212, triangle 71
0.20279788867810128 0.32815001985154824 #213, triangle 71
-0.532430729810728 0.03253126850786724 #214, triangle 72
0.21902782552693645 -0.3489793024081382 #215, triangle 72
-0.18002182122278013 -0.318046138719778 #216, triangle 72
0.5259490959307497 -0.04261740426667205 #217, triangle 73
-0.2154825019931706 0.35436589239868205 #218, triangle 73
0.18389409889180583 0.31294403301291845 #219, triangle 73
0.21681013903192262 -0.33485051571593927 #220, triangle 74
-0.1824524177237322 -0.3318195958744358 #221, triangle 74
-0.5283508902684019 0.003386684714339873 #222, triangle 74
-0.19404590027920235 0.3468527771575784 #223, triangle 75
0.2058667713664146 0.3200826032603644 #224, triangle 75
0.49093290951529084 -0.02840280074188208 #225, triangle 75
-0.47806953693343895 -0.00019480025846859336 #226, triangle 76
-0.21441484544538028 0.3332467273225599 #227, triangle 76
0.18504626511149924 0.3334199505964674 #228, triangle 76
-0.20542535413019108 -0.32327682571166744 #229, triangle 77
-0.4916082495799504 0.021804840120515544 #230, triangle 77
0.19450004790020417 -0.34354386437993784 #231, triangle 77
-0.23032105566462135 -0.3158828219113631 #232, triangle 78
-0.455171915839937 0.03685207252733102 #233, triangle 78
0.16719201228066724 -0.3512529032444206 #234, triangle 78
0.4945233828697823 0.03762322555204947 #235, triangle 79
0.20352822223010675 -0.315493229326439 #236, triangle 79
-0.19644037994336155 -0.3516639679832274 #237, triangle 79
-0.4948561001118307 -0.008534515277253253 #238, triangle 80
-0.20331254319712408 0.3294854828680307 #239, triangle 80
0.1966597953725754 0.3372035216575522 #240, triangle 80
-0.20176779320317018 -0.34384598788006837 #241, triangle 81
0.5027837063298913 0.022416285723012387 #242, triangle 81
0.1982243593833023 -0.3229838791415942 #243, triangle 81
-0.2110085194683381 -0.3316644523214692 #244, triangle 82
-0.48314704964096294 0.003731628611187065 #245, triangle 82
0.18867993771658856 -0.33500640257543196 #246, triangle 82
-0.18833915127629827 0.3544214186260925 #247, triangle 83
0.2113305394572848 0.31289185548319187 #248, triangle 83
0.48266432439143836 -0.04271870005891704 #249, triangle 83
0.1910386352493153 -0.35947253980500854 #250, triangle 84
-0.20876499887088049 -0.3081803455723552 #251, triangle 84
-0.4865261239671525 0.0517161624572127 #252, triangle 84
