TAPERS FOR SHAPE PARAMETERS
0.053369615366898535 0.029662521597900664 #200, triangle 67
0.030647258961510465 0.05303472699869319 #201, triangle 67
0.03487420579701677 0.052927065101261724 #202, triangle 68
0.05023515022516404 0.04490944407727418 #203, triangle 68
0.055838779665144604 0.03203425000553334 #204, triangle 68
0.052929570870061386 0.037121452495925196 #205, triangle 69
0.03811397254400606 0.051740554948307815 #206, triangle 69
0.04839819910142491 0.046295340612779595 #207, triangle 69
0.05090474089071955 0.03241923034914302 #208, triangle 70
0.03923197836979573 0.04216305564340608 #209, triangle 70
0.0500182663609826 0.03464268978325468 #210, triangle 70
0.04065950003040332 0.039260658164564116 #211, triangle 71
0.04044480109102631 0.038676743870519635 #212, triangle 71
0.04129956688389732 0.03813092108411408 #213, triangle 71
0.05226150007424658 0.05032106563486474 #214, triangle 72
0.05413350054704188 0.04911931139326584 #215, triangle 72
0.05036979220090528 0.053439595364377715 #216, triangle 72
0.032111263933459276 0.047740632080886615 #217, triangle 73
0.025535580184631108 0.05006604039771591 #218, triangle 73
0.033467579243127724 0.04155221686091895 #219, triangle 73
0.0384722048419016 0.04401866594953183 #220, triangle 74
0.05248121375955444 0.031466325460360364 #221, triangle 74
0.05082030249033268 0.03572236543244852 #222, triangle 74
0.04801938921780039 0.04436623002615472 #223, triangle 75
0.03405294362415288 0.05153753612234663 #224, triangle 75
0.05354488526820416 0.03214095057984255 #225, triangle 75
0.053822516495636775 0.03666940659484912 #226, triangle 76
0.04984505519252646 0.045076249895554386 #227, triangle 76
0.038915207033441576 0.051126803321356974 #228, triangle 76
0.048299207547186813 0.03432983110078587 #229, triangle 77
0.048361728251739906 0.034182819082011366 #230, triangle 77
0.040217336660592566 0.04001648004569661 #231, triangle 77
0.05256117964193506 0.03728207063728645 #232, triangle 78
0.04945707954308343 0.039748682041750624 #233, triangle 78
0.04394577239678863 0.049375203625137615 #234, triangle 78
0.03581795542622919 0.04149559304538457 #235, triangle 79
0.04167572238633548 0.03546768398402628 #236, triangle 79
0.038242867202622356 0.03771691893458434 #237, triangle 79
0.033991199053766984 0.039295174155208605 #238, triangle 80
0.03975513551688283 0.03590360984325212 #239, triangle 80
