SKEWS FOR JACOBIAN
-0.7241419960505054 #415, triangle 139
-0.2958672734181558 #416, triangle 139
0.5383866249993147 #417, triangle 139
0.117625450828264 #418, triangle 140
0.9794317764482577 #419, triangle 140
-0.2766603672639729 #420, triangle 140
-0.31233762619708183 #421, triangle 141
0.6227814612294522 #422, triangle 141
-0.691788346773785 #423, triangle 141
-0.2726778039540327 #424, triangle 142
0.9738007940841003 #425, triangle 142
-0.8279123579564344 #426, triangle 142
-0.901325871920418 #427, triangle 143
-0.3111318253811306 #428, triangle 143
0.5894045013833048 #429, triangle 143
-0.3454782045446912 #430, triangle 144
0.31580506270243985 #431, triangle 144
0.7993359360602229 #432, triangle 144
-0.7433979151763053 #433, triangle 145
-0.2843547085457859 #434, triangle 145
0.3136597014419206 #435, triangle 145
0.3225304879212736 #436, triangle 146
-0.7573172916689526 #437, triangle 146
-0.30475209539285925 #438, triangle 146
-0.35386328984198223 #439, triangle 147
0.3162118459756092 #440, triangle 147
0.8404280558389198 #441, triangle 147
0.9237289567235394 #442, triangle 148
-0.516306582242612 #443, triangle 148
0.2617387364730501 #444, triangle 148
0.31898450297195563 #445, triangle 149
-0.790243172102671 #446, triangle 149
-0.3167206215090323 #447, triangle 149
1.129703455078851 #448, triangle 150
-0.5750669986324526 #449, triangle 150
0.41584366667173833 #450, triangle 150
0.45997538937618104 #451, triangle 151
1.16337062497871 #452, triangle 151
0.0025162133129487296 #453, triangle 151
-0.2767230390374188 #454, triangle 152
0.2845036390775574 #455, triangle 152
0.7655401637138554 #456, triangle 152
0.8797045081752201 #457, triangle 153
-0.4424186233511693 #458, triangle 153
0.3231511352922631 #459, triangle 153
-0.34731098933100696 #460, triangle 154
0.23076917285596021 #461, triangle 154
0.6915110697750348 #462, triangle 154
0.5204583434340594 #463, triangle 155
-0.5616817605740385 #464, triangle 155
0.03963295846327699 #465, triangle 155
-0.17553505860108712 #466, triangle 156
0.026241556534885246 #467, triangle 156
-0.6499835487178428 #468, triangle 156
-0.3533592081725891 #469, triangle 157
0.3329188562420133 #470, triangle 157
0.8514615732564657 #471, triangle 157
-0.28889735518890436 #472, triangle 158
0.18060496674476922 #473, triangle 158
0.5124289962715569 #474, triangle 158
-0.4661741262290296 #475, triangle 159
0.31963019086803524 #476, triangle 159
0.9929346370112564 #477, triangle 159
-0.1591622786930094 #478, triangle 160
0.4953724192071149 #479, triangle 160
-0.6914824788266496 #480, triangle 160
-0.8432784220683235 #481, triangle 161
-0.30610429116890503 #482, triangle 161
0.3544426722410045 #483, triangle 161
-0.49162575851924195 #484, triangle 162
0.29225620501012267 #485, triangle 162
0.8460804778634614 #486, triangle 162
-0.29615717520552537 #487, triangle 163
0.4598009578548956 #488, triangle 163
-0.8979257588368316 #489, triangle 163
-1.3020369796812161 #490, triangle 164
-0.6061636190521231 #491, triangle 164
-0.13301025631808397 #492, triangle 164
0.3351427459868012 #493, triangle 165
-0.8480395082545913 #494, triangle 165
-0.3321408575872433 #495, triangle 165
-0.40988899121584244 #496, triangle 166
0.25054779746446953 #497, triangle 166
0.7101244760702166 #498, triangle 166
0.7931773346495269 #499, triangle 167
-0.3435328734056629 #500, triangle 167
0.32716192117519866 #501, triangle 167
0.20838867530804142 #502, triangle 168
-1.1069594898625927 #503, triangle 168
-0.21472356853755553 #504, triangle 168
-0.5573787317856017 #505, triangle 169
-0.1445004156947981 #506, triangle 169
0.4933467781588834 #507, triangle 169
0.002572389370731833 #508, triangle 170
0.2505680092608191 #509, triangle 170
-0.44827908181564186 #510, triangle 170
-0.27807052725143433 #511, triangle 171
0.2732575049662355 #512, triangle 171
-0.729467719819676 #513, triangle 171
0.8858402994063759 #514, triangle 172
-0.3162204789629136 #515, triangle 172
0.3227146544766209 #516, triangle 172
-0.1845580525771186 #517, triangle 173
0.29058922330094056 #518, triangle 173
-0.5155051862054725 #519, triangle 173
0.4998855298874559 #520, triangle 174
-0.16258198356473344 #521, triangle 174
0.045725301391996806 #522, triangle 174
0.45402803867974545 #523, triangle 175
1.0504239809977503 #524, triangle 175
-0.5819309619118065 #525, triangle 175
-0.14478095721147305 #526, triangle 176
0.13850229057381805 #527, triangle 176
0.6267337654643219 #528, triangle 176
0.0907674913539379 #529, triangle 177
0.616977581678874 #530, triangle 177
-0.22420783330971553 #531, triangle 177
-0.4544175224644769 #532, triangle 178
0.3357855490248134 #533, triangle 178
0.8190010833054929 #534, triangle 178
0.6462999510353703 #535, triangle 179
-1.0691060631192284 #536, triangle 179
-0.5019245733176926 #537, triangle 179
0.3639892006627957 #538, triangle 180
0.7598209295671534 #539, triangle 180
-0.5759935782766202 #540, triangle 180
0.5358246277528017 #541, triangle 181
-0.1277122462918674 #542, triangle 181
0.10069672556876257 #543, triangle 181
-0.03008503650699402 #544, triangle 182
0.30790759253579875 #545, triangle 182
-0.48237048102583363 #546, triangle 182
0.8851935408574311 #547, triangle 183
-0.27052222036436735 #548, triangle 183
0.30321595768015863 #549, triangle 183
-0.314717291347791 #550, triangle 184
0.29371809512862307 #551, triangle 184
0.8107683094391516 #552, triangle 184
-0.3190315127378772 #553, triangle 185
0.24512415661661727 #554, triangle 185
0.6663398001202809 #555, triangle 185
1.2485065274969396 #556, triangle 186
0.009522191528371015 #557, triangle 186
0.5007001696619641 #558, triangle 186
-0.3225014924447793 #559, triangle 187
0.2583520921528434 #560, triangle 187
0.7495789084050931 #561, triangle 187
-0.3933664490708424 #562, triangle 188
0.24683505929705304 #563, triangle 188
0.7569635815714919 #564, triangle 188
-0.1433157627761539 #565, triangle 189
0.04871707953376313 #566, triangle 189
-0.5609798295574859 #567, triangle 189
0.8999558587115152 #568, triangle 190
-0.4711311315289432 #569, triangle 190
0.26982135607507846 #570, triangle 190
0.8870681705988983 #571, triangle 191
-0.4812739339881876 #572, triangle 191
0.2452732568723021 #573, triangle 191
-0.6280063699428443 #574, triangle 192
0.036587141768498914 #575, triangle 192
0.5884128297018628 #576, triangle 192
0.8861006428608197 #577, triangle 193
-0.42830723805789883 #578, triangle 193
0.27188215959094303 #579, triangle 193
0.2956642685661194 #580, triangle 194
0.8623435253454315 #581, triangle 194
-0.386471413639332 #582, triangle 194
-0.3453707180817439 #583, triangle 195
0.2669106608253922 #584, triangle 195
0.7878743128954888 #585, triangle 195
0.19753961409403833 #586, triangle 196
0.8117418291737766 #587, triangle 196
-0.45262858416083357 #588, triangle 196
-0.3693705457053646 #589, triangle 197
0.5398345925384244 #590, triangle 197
-0.7397060439533785 #591, triangle 197
0.15133693466829848 #592, triangle 198
1.0534450819137988 #593, triangle 198
-0.2575884368462909 #594, triangle 198
-0.8418695626370474 #595, triangle 199
-0.3261453193907345 #596, triangle 199
0.922782937269409 #597, triangle 199
-0.7703280002317647 #598, triangle 200
-0.34834727271387467 #599, triangle 200
0.5458762598007465 #600, triangle 200
-0.4348648893400445 #601, triangle 201
-0.09172734253013 #602, triangle 201
0.4484569808169639 #603, triangle 201
-0.33084004718872223 #604, triangle 202
-0.17075181181157056 #605, triangle 202
0.20317706386199902 #606, triangle 202
-0.8393388479469361 #607, triangle 203
0.3653852789420149 #608, triangle 203
0.947394354538345 #609, triangle 203
-0.39802825067164127 #610, triangle 204
0.43922833349705603 #611, triangle 204
0.890491969527918 #612, triangle 204
0.38569414546847386 #613, triangle 205
-0.8614974782827969 #614, triangle 205
-0.35204318059116413 #615, triangle 205
-1.1505022194117152 #616, triangle 206
-0.44533719372771263 #617, triangle 206
0.6096010803763485 #618, triangle 206
0.9168126279431339 #619, triangle 207
-0.57885105667647 #620, triangle 207
0.2407820038593495 #621, triangle 207
-0.4489051732025255 #622, triangle 208
0.23322635911137674 #623, triangle 208
0.9234951008615934 #624, triangle 208
-0.25130839179270686 #625, triangle 209
0.3596443151094604 #626, triangle 209
-0.6845736802338582 #627, triangle 209
0.7892817585631333 #628, triangle 210
-0.31574226471100636 #629, triangle 210
0.31564310322045686 #630, triangle 210
#The minimum value is -2.0369920355862354, which is in quad 169 {(-7.2067068263500005, -0.49519391300000004)(-6.803410208, -0.3974572535)(-7.328695921, -0.19872862675)(-7.422465095566667, -0.33012927533333336)}, which is in triangle 57 {(-7.6100034447, -0.5929305725)(-6.803410208, -0.3974572535)(-7.853981634, 0.0)}
#The maximum value is 1.2825262546276832, which is in quad 249 {(-2.2025253484, -1.5977421863)(-1.86053153995, -1.6347115492)(-1.6634642524333334, -1.4203308424333334)(-1.7359275129, -1.2946558076)}, which is in triangle 83 {(-1.5185377315, -1.6716809121)(-1.2693296774, -0.9915694289)(-2.2025253484, -1.5977421863)}
#The mean average is -0.003735034485954319

