TAPERS FOR JACOBIAN
-0.1593765412519952 0.32965522760749794 #237, triangle 79
0.1755668088476863 0.3329477840902515 #238, triangle 80
0.5400097994464408 -0.0008662333883314762 #239, triangle 80
-0.223026654523392 0.33371910567776825 #240, triangle 80
-0.4473562395913481 0.09320113386858954 #241, triangle 81
0.16048310273813127 -0.3862676486491254 #242, triangle 81
-0.2359639390504025 -0.28429290061096446 #243, triangle 81
0.21463179981309422 -0.3179471296491352 #244, triangle 82
-0.18481265469647187 -0.3490830290570867 #245, triangle 82
0.4777482803679528 0.03273046716041188 #246, triangle 82
0.46031037160232413 0.26770776937597646 #247, triangle 83
0.2266716685087425 -0.11849611500235697 #248, triangle 83
-0.17142282944109605 -0.6503219952016959 #249, triangle 83
-0.49092142591477905 -0.013283943807601303 #250, triangle 84
-0.20587428355670223 0.3272956853467576 #251, triangle 84
0.1940381626353001 0.33942616084151334 #252, triangle 84
0.20744052045524172 -0.3356606248328475 #253, triangle 85
-0.19241845290413576 -0.33101413799919954 #254, triangle 85
-0.5120169937194785 0.0051731982868162074 #255, triangle 85
0.5281451166016163 -0.018245117825953786 #256, triangle 86
-0.21669704207587637 0.341802837840522 #257, triangle 86
0.18257561886158805 0.3249700777721498 #258, triangle 86
0.21529892698677264 -0.3131720191493295 #259, triangle 87
-0.18409265992741702 -0.35412337949622197 #260, triangle 87
0.4767620193991659 0.04217436693075065 #261, triangle 87
-0.214970767720041 0.35640784730811836 #262, triangle 88
0.1844471365133588 0.3110307512224362 #263, triangle 88
0.5250313025055551 -0.04630786605545958 #264, triangle 88
0.20063637006215476 -0.33398357159963477 #265, triangle 89
-0.1993626159074588 -0.33268372866375306 #266, triangle 89
-0.5009971042791069 0.0014580586501521159 #267, triangle 89
-0.5278438532774599 0.0946044460711331 #268, triangle 90
0.21653124419181566 -0.3872904471618642 #269, triangle 90
-0.1827560979178337 -0.2834162889717082 #270, triangle 90
0.18452924167986084 0.3335071537055862 #271, triangle 91
-0.4773593619242722 -0.0003907392657346762 #272, triangle 91
-0.21489467839584367 0.33315955826954935 #273, triangle 91
-0.3022135960086251 0.20261664071994553 #274, triangle 92
0.06270213194611046 0.4959314599517614 #275, triangle 92
-0.3659768575043749 -0.19736612954836666 #276, triangle 92
-0.17618698626496804 0.3578029355096817 #277, triangle 93
0.22247501890059454 0.30973007468091934 #278, triangle 93
0.46630280501923904 -0.04878891664673861 #279, triangle 93
0.2800109831471283 0.1951289185722894 #280, triangle 94
0.3912913717504097 -0.20481247651527185 #281, triangle 94
-0.09998283824358067 0.5076812194408501 #282, triangle 94
-0.26644313226482635 0.2586799863339869 #283, triangle 95
0.12032167382315372 0.4174005263274551 #284, triangle 95
-0.4076834786571105 -0.13123170750672086 #285, triangle 95
0.2616514996588753 -0.3307933691634363 #286, triangle 96
-0.1271147948382004 -0.33588301164054796 #287, triangle 96
0.4136511607239538 0.0056609991262191964 #288, triangle 96
-0.01729873856328371 -0.3354075066249555 #289, triangle 97
0.34134504405867366 0.004616617664598296 #290, triangle 97
0.32541676054467134 -0.3312655933183807 #291, triangle 97
0.3054035312922037 0.22697896631579884 #292, triangle 98
0.36248441112236257 -0.1710697640298324 #293, triangle 98
-0.056884189067790226 0.45987510546545013 #294, triangle 98
-0.24709628567922032 -0.21861239528521076 #295, triangle 99
-0.43238300829745435 0.1804792866311116 #296, triangle 99
0.1466185435085434 -0.4718988143215405 #297, triangle 99
0.4253640822605836 -0.19797626225733728 #298, triangle 100
-0.13961338303242304 0.49686566075484 #299, triangle 100
0.2524660055197301 0.20201355049731734 #300, triangle 100
-0.2477522081758913 0.3264173605835111 #301, triangle 101
0.14577429947412054 0.34032180419421065 #302, triangle 101
-0.4315186767340845 -0.015167569326560392 #303, triangle 101
0.25608039316179054 0.33372671984277574 #304, triangle 102
-0.6161145087681322 -0.000883295394662045 #305, triangle 102
-0.13477499735783036 0.3329401788164156 #306, triangle 102
0.5013024750206778 -0.001395910704515013 #307, triangle 103
-0.2008305550371039 0.3339557654300243 #308, triangle 103
0.19916771682042794 0.3327114818271476 #309, triangle 103
0.4926667473553236 0.14774257989924933 #310, triangle 104
0.20473494878341877 -0.2462191820659207 #311, triangle 104
-0.19520833044171734 -0.4335418550838307 #312, triangle 104
-0.20764576788873712 0.33681656209543986 #313, triangle 105
0.1922052397930365 0.32986820930076854 #314, triangle 105
0.5123599557443738 -0.007696518851621041 #315, triangle 105
-0.20047560509753376 0.33348075917000064 #316, triangle 106
0.19952382872875724 0.33318594009102404 #317, triangle 106
0.5007446824795729 -0.0003314515937270288 #318, triangle 106
0.19989170147962157 -0.3338467031269649 #319, triangle 107
-0.20010826920689115 -0.33282035855833336 #320, triangle 107
-0.4998308636997058 0.0011519772365108283 #321, triangle 107
-0.2001551441177586 -0.33369819623611485 #322, triangle 108
0.5002425773347016 0.0008193719994167494 #323, triangle 108
0.1998447956846506 -0.3329686700087305 #324, triangle 108
-0.1998732846484335 0.3344219323043022 #325, triangle 109
0.20012667522232971 0.3322465090360819 #326, triangle 109
0.4998021169655054 -0.0024354288566080145 #327, triangle 109
0.1984260965347895 -0.335971571685074 #328, triangle 110
-0.20156773480709675 -0.3307054942802505 #329, triangle 110
-0.4975575938236153 0.005854940960029967 #330, triangle 110
0.4999969311630325 0.0000026256562486117046 #331, triangle 111
0.2000019640628923 -0.3333321663698938 #332, triangle 111
-0.19999803592746443 -0.3333345002988155 #333, triangle 111
0.1930205557213485 -0.34111977043652203 #334, triangle 112
-0.20685975115133692 -0.3256367892151763 #335, triangle 112
-0.4894177481034691 0.01683143471635546 #336, triangle 112
0.19834018322288482 -0.3328634480285281 #337, triangle 113
-0.2016529577595632 -0.33380355006003354 #338, triangle 113
0.5026015601765456 0.0010553822784739404 #339, triangle 113
-0.194916435177862 0.34496048918512767 #340, triangle 114
0.20501976901913618 0.3219054874983991 #341, triangle 114
0.4922297450669454 -0.02465603308487316 #342, triangle 114
0.18001639627277188 -0.3493491903221999 #343, triangle 115
-0.2190327465642751 -0.3176932112815699 #344, triangle 115
-0.47128603164800426 0.033240692771357064 #345, triangle 115
0.20135306164387176 0.32885911106891874 #346, triangle 116
