TAPERS FOR JACOBIAN
-0.2 -0.2 #1, triangle 1
0.3544018058690734 0.47180067950169857 #173, triangle 58
0.3129102844638948 0.6480565371024745 #174, triangle 58
0.15906127770534542 -0.21733078127718775 #175, triangle 59
0.28177496038034855 -0.6675567423230959 #176, triangle 59
0.3892133287530054 -0.4737729092058143 #177, triangle 59
-0.5000000000000001 0.3526501766784439 #178, triangle 60
0.19999999999999998 -1.2180851063829812 #179, triangle 60
-0.19999999999999998 0.046857142857143305 #180, triangle 60
0.20000000000000004 -0.22332233223322076 #181, triangle 61
-0.20000000000000004 -0.46508563899868344 #182, triangle 61
0.4999999999999999 0.1752336448598117 #183, triangle 61
-0.3425497042685099 0.016132205390518257 #184, triangle 62
-0.32424263723905256 0.3403154735295991 #185, triangle 62
0.019779771615008015 0.32642356063957606 #186, triangle 62
-0.2 -1.9973045822102429 #187, triangle 63
0.5 0.3845514950166112 #188, triangle 63
0.2 0.14263685427910516 #189, triangle 63
0.2 -0.19999999999999904 #190, triangle 64
-0.2 -0.5 #191, triangle 64
0.5 0.19999999999999857 #192, triangle 64
0.5 0.3334666933386691 #193, triangle 65
0.2 0.00030021014710093926 #194, triangle 65
-0.2 -1.001201923076923 #195, triangle 65
-0.3331999999999999 -0.999999999999994 #196, triangle 66
-0.00030021014710293896 -0.1999999999999995 #197, triangle 66
-0.33346669333866763 -0.5 #198, triangle 66
-0.2857693790975704 -1.000000000000004 #199, triangle 67
-0.1426368542791058 -0.20000000000000032 #200, triangle 67
-0.3845514950166113 -0.499999999999999 #201, triangle 67
-0.37087017217310375 0.4999999999999998 #202, triangle 68
0.07055393586005866 1.0 #203, triangle 68
-0.29779735682819425 1.0 #204, triangle 68
-0.3470512584971522 0.4999999999999997 #205, triangle 69
0.028791773778920504 1.0 #206, triangle 69
-0.3198919891989196 1.0 #207, triangle 69
-0.241315136476427 0.4999999999999997 #208, triangle 70
0.1539259771705308 0.2000000000000001 #209, triangle 70
0.5787979176526267 -0.20000000000000026 #210, triangle 70
-0.35978480161398774 0.4999999999999997 #211, triangle 71
0.052258635961027616 1.0 #212, triangle 71
-0.3078913324708922 1.0 #213, triangle 71
-0.19999999999999998 0.17798074549493995 #214, triangle 72
-0.5000000000000001 0.39433938317045375 #215, triangle 72
0.19999999999999998 -2.527542372881328 #216, triangle 72
-0.14285714285714307 -0.4999999999999997 #217, triangle 73
0.42857142857142794 0.2000000000000001 #218, triangle 73
0.2499999999999997 -0.20000000000000026 #219, triangle 73
-0.500427228709769 0.4286529680365299 #220, triangle 74
0.200273099681384 1001.0000000001111 #221, triangle 74
-0.19972671373263526 0.33377748167888216 #222, triangle 74
-0.24900962082625883 0.5703281027104155 #223, triangle 75
-0.42986718496922594 0.46328620185275426 #224, triangle 75
0.1441470493389227 2.208667736757631 #225, triangle 75
-1.0 -0.2686137392019739 #226, triangle 76
-0.5000000000000003 -0.40501138952164045 #227, triangle 76
-0.19999999999999968 -0.22056074766355038 #228, triangle 76
-0.5000000000000003 -0.4243113010273663 #229, triangle 77
-0.19999999999999968 -0.3107017180707916 #230, triangle 77
-1.0 -0.2532799999999995 #231, triangle 77
0.33729607775078113 -0.18973302701418074 #232, triangle 78
-0.008734459674848462 0.48464746019711885 #233, triangle 78
0.3293940047444463 0.21001004093612455 #234, triangle 78
-0.19985985674244763 -0.2542940930037699 #235, triangle 79
-0.5002190313944999 0.13717886572951798 #236, triangle 79
0.20014009417441722 -0.4230038022813694 #237, triangle 79
-0.19999999999999968 0.39640016743407325 #238, triangle 80
0.19999999999999968 0.2757170172084108 #239, triangle 80
0.5000000000000007 -0.10660377358490616 #240, triangle 80
-0.19999999999999968 0.13265306122449094 #241, triangle 81
0.19999999999999968 0.6204379562043812 #242, triangle 81
-0.5000000000000007 -0.25764192139737907 #243, triangle 81
0.20000000000000095 -0.25033768572714915 #244, triangle 82
0.4999999999999996 -0.411839457799428 #245, triangle 82
1.000000000000003 -0.26309805779251555 #246, triangle 82
0.19999999999999937 -0.14263685427910516 #247, triangle 83
0.4999999999999995 -0.3845514950166112 #248, triangle 83
0.999999999999996 -0.2857693790975699 #249, triangle 83
1.0 -0.2500374981250936 #250, triangle 84
0.2 -0.33306677329068285 #251, triangle 84
0.5 -0.42852245457661997 #252, triangle 84
0.025596849618508947 -0.42659053833605215 #253, triangle 85
-0.32144999571514316 -0.2515205724508047 #254, triangle 85
-0.34543233574731663 0.14086242299794657 #255, triangle 85
0.29923076923076913 0.6675567423230959 #256, triangle 86
-0.06803069053708385 1.6631158455392794 #257, triangle 86
0.3692744223753548 0.47377290920581405 #258, triangle 86
-0.35024284943335104 -0.4999999999999995 #259, triangle 87
-0.316842105263157 -1.0 #260, triangle 87
-0.04062229904926474 -0.2 #261, triangle 87
-0.41677496750974724 -0.4999999999999995 #262, triangle 88
-0.25917370057752026 -1.0 #263, triangle 88
-0.27324312527280514 -0.2 #264, triangle 88
-0.42852245457662025 0.4999999999999996 #265, triangle 89
0.14280816046631203 1.0 #266, triangle 89
-0.2500374981250936 1.0 #267, triangle 89
-0.3928571428571423 -0.4999999999999995 #268, triangle 90
-0.27868852459016347 -1.0 #269, triangle 90
-0.17241379310344765 -0.2 #270, triangle 90
0.09081983308787414 1.0 #271, triangle 91
-0.28576937909756966 1.0 #272, triangle 91
-0.3845514950166112 0.5000000000000008 #273, triangle 91
-0.26309805779251555 1.0 #274, triangle 92
-0.4118394577994277 0.499999999999999 #275, triangle 92
0.1250843644544431 1.0 #276, triangle 92
0.5000000000000008 -0.33346669333866863 #277, triangle 93
1.000000000000006 -0.3331999999999991 #278, triangle 93
0.20000000000000095 -0.00030021014710093926 #279, triangle 93
0.000299850074960489 1.0 #280, triangle 94
-0.3331999999999991 1.0 #281, triangle 94
-0.3334666933386682 0.5 #282, triangle 94
0.19999999999999615 0.19999999999999857 #283, triangle 95
0.4999999999999985 -0.19999999999999904 #284, triangle 95
-0.19999999999999857 0.5 #285, triangle 95
-0.004179104477611475 -0.20000000000000018 #286, triangle 96
-0.3351778656126478 -0.5 #287, triangle 96
-0.3314938904217582 -1.000000000000002 #288, triangle 96
-0.3501350135013498 -1.0 #289, triangle 97
0.03473945409429313 -0.20000000000000026 #290, triangle 97
-0.31694468832309075 -0.4999999999999997 #291, triangle 97
-0.4409169471481851 0.45914396887159514 #292, triangle 98
0.15469131496337687 2.527272727272738 #293, triangle 98
-0.24069867627477126 0.5359116022099465 #294, triangle 98
#The minimum x value is -122.3333333333469, which is in quad 19 {(0.0, 0.3889)(0.12515, 0.5263)(0.08343333333333335, 0.49899999999999994)(0.0, 0.41665)}, which is in triangle 7 {(0.0, 0.4444)(0.0, 0.3889)(0.2503, 0.6637)}
#The maximum x value is 1.000000000000006, which is in quad 278 {(0.8889, 1.0)(0.94445, 0.94445)(0.9444333333333333, 0.9629666666666666)(0.91665, 1.0)}, which is in triangle 93 {(0.8889, 1.0)(1.0, 0.8889)(0.9444, 1.0)}
#The minimum y value is -1667.0000000001833, which is in quad 48 {(0.25, 0.0)(0.2778, 0.0)(0.1389, 0.1389)(0.16666666666666666, 0.0926)}, which is in triangle 16 {(0.0, 0.2778)(0.2222, 0.0)(0.2778, 0.0)}
#The maximum y value is 1001.0000000001111, which is in quad 221 {(0.5752999999999999, 0.48645)(0.6003, 0.4863)(0.47514999999999996, 0.61815)(0.5002, 0.5742999999999999)}, which is in triangle 74 {(0.6003, 0.4863)(0.35, 0.75)(0.5503, 0.4866)}
#The mean average for x is -0.4640556005606972
#The mean average for y is -2.411661553535787

