SKEWS FOR JACOBIAN
-0.2 #1, triangle 1
-0.7061315259980925 #275, triangle 92
-0.9375703037120375 #276, triangle 92
-0.37556255625562646 #277, triangle 93
1.497749774977498 #278, triangle 93
-0.600360036003602 #279, triangle 93
-0.833583208395806 #280, triangle 94
-0.5560000000000025 #281, triangle 94
-0.44488897779555653 #282, triangle 94
-0.19999999999999615 #283, triangle 95
0.24999999999999925 #284, triangle 95
-0.7999999999999918 #285, triangle 95
0.9698507462686561 #286, triangle 96
2.5683794466403187 #287, triangle 96
3.2016160819865984 #288, triangle 96
3.3753375337533753 #289, triangle 97
0.9305210918114137 #290, triangle 97
2.6338893766461844 #291, triangle 97
-0.7040844173564998 #292, triangle 98
-0.9590163934426225 #293, triangle 98
-0.8022244850003915 #294, triangle 98
#The minimum value is -92.70370370371391, which is in quad 19 {(0.0, 0.3889)(0.12515, 0.5263)(0.08343333333333335, 0.49899999999999994)(0.0, 0.41665)}, which is in triangle 7 {(0.0, 0.4444)(0.0, 0.3889)(0.2503, 0.6637)}
#The maximum value is 6.203473945409428, which is in quad 45 {(0.16666666666666666, 0.3740666666666666)(0.25, 0.36665000000000003)(0.5, 0.4)(0.25, 0.39445)}, which is in triangle 15 {(0.0, 0.3889)(0.0, 0.3333)(0.5, 0.4)}
#The mean average is -0.3211780748007688

