ASPECT RATIOS FOR JACOBIAN
1.0 #1, triangle 1
1.0500359971202302 #252, triangle 84
1.1046764545948884 #253, triangle 85
1.391651759093619 #254, triangle 85
1.5689253935660508 #255, triangle 85
1.1570983533600336 #256, triangle 86
-0.5762148337595915 #257, triangle 86
2.886299148763685 #258, triangle 86
2.516999460334593 #259, triangle 87
1.6295025728987984 #260, triangle 87
5.038893690579089 #261, triangle 87
1.3987803658902338 #262, triangle 88
3.2175528873642087 #263, triangle 88
3.8171104321257037 #264, triangle 88
1.312781278127812 #265, triangle 89
-0.19046802674438554 #266, triangle 89
6.000900090008998 #267, triangle 89
1.7975334018499487 #268, triangle 90
2.423956546598059 #269, triangle 90
4.33887372860333 #270, triangle 90
-0.18180330551464532 #271, triangle 91
7.001800180018019 #272, triangle 91
1.6255625562556275 #273, triangle 91
6.331733653269333 #274, triangle 92
1.416166766646672 #275, triangle 92
-0.1875140607424078 #276, triangle 92
1.1248874887488747 #277, triangle 93
4.500450045004512 #278, triangle 93
1.6676673671570084 #279, triangle 93
-0.16671664167916042 #280, triangle 94
8.992805755395707 #281, triangle 94
2.2477517985611573 #282, triangle 94
1.0 #283, triangle 95
1.2500000000000022 #284, triangle 95
1.2500000000000089 #285, triangle 95
4.849253731343277 #286, triangle 96
2.5683794466403174 #287, triangle 96
1.5617112957833206 #288, triangle 96
1.481333333333332 #289, triangle 97
4.652605459057073 #290, triangle 97
2.633889376646183 #291, triangle 97
1.1881755296152186 #292, triangle 98
-0.08632717125915577 #293, triangle 98
3.918661755678333 #294, triangle 98
#The minimum value is -0.7712082262210788, which is in quad 206 {(1.0, 0.30555)(1.0, 0.3333)(0.85, 0.36665000000000003)(0.9, 0.33703333333333335)}, which is in triangle 69 {(1.0, 0.3333)(0.7, 0.4)(1.0, 0.2778)}
#The maximum value is 6945.000000000764, which is in quad 48 {(0.25, 0.0)(0.2778, 0.0)(0.1389, 0.1389)(0.16666666666666666, 0.0926)}, which is in triangle 16 {(0.0, 0.2778)(0.2222, 0.0)(0.2778, 0.0)}
#The mean average is 29.50716773404545

